Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
6/30/22 23:08,Elkhorn,NE,USA,Other,~30 minutes,"A lighted, fast moving object that appeared to have small wings and a circular center moving in random motions.",9/9/22,
6/30/22 23:00,Elk River,MN,USA,Light,3-4 min,"2 red/orange lights appear out of nowhere, interact, turn, fly away",9/9/22,
6/30/22 22:00,Santa Rosa,CA,USA,Changing,20-25 seconds,"started with 2 distinct stars that caught my attention near each other, same brightness. suddenly a 3rd appeared making a triangle",9/9/22,
6/30/22 21:30,Marshalltown,IA,USA,Light,90 seconds,I saw a solid orange light traveling at what looked like airplane speed but disappeared rather quicker than an aircraft would.,9/9/22,
6/30/22 21:25,Susanville,CA,USA,,About 6 seconds,Green on lower half orange upper half,9/9/22,
6/30/22 21:01,Stuttgart,,Germany,Cylinder,5-10,"silverish white tube-like craft with rotor-like antenna, no wings no rotor no sound moving at the apeed of a zeppelin",9/9/22,Yes
6/30/22 21:01,Stuttgart,Baden-Württemberg,Germany,Cylinder,5-10 min,tube shaped silverish white object with rotor blade-like antenna hanging from top moving at the speed of a zeppelin black,9/9/22,
6/30/22 21:00,Stuttgart,Baden-Württemberg,Germany,Cylinder,5-10,"silverish white tube-like craft with rotor-like antenna, no wings no rotor no sound moving at the apeed of a zeppelin",9/9/22,
6/30/22 21:00,Williamson Valley,AZ,USA,Chevron,Less than 5 minutes,Three and then four lights just appeared infront of a cloud,9/9/22,
6/30/22 20:00,palm bay,FL,USA,Light,around 2-5 seconds,flashing glowing light that changed colors while falling fast then abruptly disappeared,9/9/22,
6/30/22 10:56,Jackson,NH,USA,Triangle,Approximately 1 minute,"A bright, white triangular object appeared in the sky above tree line moving in a horizontal trajectory then disappeared quickly.",9/9/22,
6/30/22 09:35,Mansfield,OH,USA,Cylinder,10 seconds,The bright silver object was moving West to East,9/9/22,
6/30/22 05:39,,MD,USA,Other,1-2 minutes,Large Dark object sitting high up in the sky,9/9/22,
6/30/22 03:33,Moreno valley,CA,USA,Light,Minute or 2,Bright light in house,9/9/22,
6/29/22 22:56,Manchester,,United Kingdom,Light,2-5 mins,Whilst having a cigarette in the garden we noticed 3 lights moving in the sky so got my phone out and started videoing.,9/9/22,
6/29/22 22:30,Methuen,MA,USA,Oval,1-2 minutes,Two objects parallel to each other short distance apart,9/9/22,Yes
