Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
11/30/21 21:30,Rossville,GA,USA,Circle,About 30 min?,"A bright orb coming towards my window, which became two alien beings.",9/9/22,
11/30/21 21:00,New Smyrna Beach,FL,USA,Other,,Object darting in the sky.,12/19/21,
11/30/21 18:00,Willow Grove,PA,USA,Triangle,,"Boomerang-type UFO sighting in Willow Grove, PA",12/19/21,
11/30/21 18:00,Los Angeles (Malibu),CA,USA,Light,,A craft with a long light moving across the sky,12/19/21,
11/30/21 17:00,Plymouth,MA,USA,Circle,,A bright light in the sky from some kind of craft and its movement and speeds were erratic.,12/19/21,
11/30/21 16:30,Daytona,FL,USA,Cigar,,Was flying high,12/19/21,
11/30/21 12:00,Waukesha,WI,USA,Light,,Bright light about 30 degree off the southern horizon that appeared to shoot up almost instantly.,12/19/21,
11/30/21 09:15,Garrettsville,OH,USA,,,MADAR Node 64,3/4/22,
11/29/21 23:00,Palm Harbor,FL,USA,Triangle,,Triangle craft heading SE to NW across evening sky,12/19/21,
11/29/21 19:00,Fort Collins,CO,USA,Light,,"Two separate orbs of warm light like fire. Arcing flight path, no sound. Maybe a thousand ft elevation? Moving slow.",12/19/21,
11/29/21 18:43,Portage,KS,USA,,,MADAR Node 178,3/4/22,
11/29/21 17:00,Newark,DE,USA,Disk,,I saw a very large black cloud like structure and within minutes disappeared,12/19/21,
11/29/21 16:30,Olympia,WA,USA,Circle,,Bright stationery light 40 degrees from horizon due south from address given,12/19/21,
11/29/21 15:12,Franklin,KY,USA,,,MADAR Node 33,3/4/22,
11/29/21 11:56,Franklin,KY,USA,,,MADAR Node 33,3/4/22,
11/29/21 11:55,Port Angeles,WA,USA,,,MADAR Node 49,3/4/22,
11/29/21 09:30,London,London Borough of Camden,United Kingdom,Rectangle,,Pale blue/green rectangle with 8 lights,12/19/21,
11/29/21 04:00,Lumberton,NC,USA,Triangle,,"I was traveling North bound on I95 on 29 NOV 21 at approximately 4am EST and witnessed a triangle shaped object, slowly flying south",12/19/21,
11/29/21 01:01,Buffalo,NY,USA,,,MADAR Node 184,3/4/22,
11/29/21 01:00,Absecon,NJ,USA,Chevron,,"Witness a triangular shaped object fly over my home on November 30, 2001 approximately 12:30-1:00 am. Crystal clear night sky.",12/19/21,
11/28/21 23:21,North Highlands,CA,USA,Changing,15 to 20 minutes,This anomaly appeared to be a very large living creature that communicated with me and a person that was present,9/9/22,
11/28/21 22:03,Buffalo,NY,USA,,,MADAR Node 184,3/4/22,
11/28/21 22:00,Des Moines,IA,USA,Rectangle,,"Driving at night and saw a large rectangular ""float"""" in the sky moving slowly noiseless. . Bright lights clearly defined the ufo. 3min",12/19/21,
11/28/21 15:32,Walla Walla,WA,USA,,,MADAR Node 130,3/4/22,
11/28/21 15:12,Newburgh,IN,USA,,,MADAR Node 142,3/4/22,
11/28/21 13:30,Las Vegas,NV,USA,Unknown,,Light in the sky followed by aircraft coming in from multiple directions.,12/19/21,
11/27/21 23:42,Evansville,IN,USA,,,MADAR Node 153,3/4/22,
11/27/21 23:16,Pine City,NY,USA,,,MADAR Node 82,3/4/22,
11/27/21 20:00,Lennox,MA,USA,Circle,4 minutes,"low, slow, disk, with orange lights floated over our heads, went a mile out and hovered in place.",12/19/21,
11/27/21 19:30,Upper Nation Twp,PA,USA,,I was not aware of it,I've seen this online. Over Mexico. Very similar,12/19/21,
11/27/21 18:30,Menifee,CA,USA,Sphere,,"Thee fast moving orange passed over Perris Ca airport, over Menifee and continued toward the west south west",12/19/21,
11/27/21 10:30,Rockaway,NJ,USA,Sphere,,Seen while driving down the road.,12/19/21,
11/27/21 02:30,port angeles,WA,USA,Light,,I woke up at 2:00 AM amd was not able to go back to sleep when i sat in front of my window facing the mountains i saw 3 lights,12/19/21,
11/26/21 20:00,Sebring,FL,USA,Light,,"Witnessed 3 white lights interacting while star gazing then witnessed a ball of light appear at ground level, photos taken",12/19/21,
11/26/21 20:00,Dandridge,TN,USA,Sphere,,Enormous orange light hovering then disappearing,12/19/21,
11/26/21 20:00,"Swift Creek, south of Raleigh",NC,USA,Other,5 minutes,"Five pulsing green lights and a large object that blocked out much of the sky, followed for five minutes",12/19/21,
11/26/21 19:30,Chandler,AZ,USA,Circle,,Fireball that changed direction,12/19/21,
11/26/21 18:30,Apex/Cary,NC,USA,Changing,6:35 pm to 6:42 pm,"Object in Sky in Cary, NC",12/19/21,
11/26/21 18:30,Carmichael,CA,USA,Circle,,Orange fireball that hovered and moved like and aircraft and then vanished,12/19/21,
11/26/21 17:30,", Florissant, MO 63033",MO,USA,Delta,,"I saw 3 points of light 2 white and one red, the 2 white lights were on the ends and the red in the middle.",12/19/21,
11/26/21 16:14,Jonesboro,AR,USA,,,MADAR Node 143,3/4/22,
11/25/21 23:00,Big Coppitt,FL,USA,Circle,,Roundish orange colored object moving parallel to ground constant speed no sound,12/19/21,
11/25/21 21:30,Jenner,CA,USA,Circle,,"Driving at night, two orange/yellow circle lights appeared high in the sky for about 10sec, stationary, then suddenly turned off",12/19/21,
11/25/21 20:47,Boise,ID,USA,,,MADAR Node 111,3/4/22,
11/25/21 20:30,,NC,USA,,,This is a recurring siting for me of an orb-like object.,12/19/21,
11/25/21 20:30,Huntington,VT,USA,Light,,"Circular light illuminating behind clouds, darted off at very high speed, reappeared and darted off again several times.",12/19/21,
