Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
11/30/20 22:05,Salt Lake City,UT,USA,Changing,30 minutes,"Last night I saw an orange star in the sky above downtown slc. Then I noticed it had lightning type spider legs come out,and almost sh",12/23/20,
11/30/20 20:27,Farmington Hills,MI,USA,,,MADAR Node 144,12/23/20,
11/30/20 19:00,Coast of Fort Lauderdale,FL,USA,Disk,1 minute,Sun Colored Flying Saucer Seen Just Off Coast of Fort Lauderdale,12/23/20,
11/30/20 18:30,Creswell,OR,USA,Other,15 sec,"Two mega brilliant white lights in sky to the south, too big for aircraft. Not landing lights, or anything Ive seen for 61 years. They",12/23/20,
11/30/20 18:20,Lahaina,AK,USA,Circle,5-10 seconds,Circular pattern of lights.,12/23/20,
11/30/20 15:00,Norwalk,CA,USA,Sphere,1 hour,Moving shiney Blinking object in the sky.,12/23/20,
11/30/20 12:55,SAN ANTONIO,TX,USA,Other,2 minutes,"Watching for chemtrails clear skies, behold a fleet of bright craft.",12/23/20,
11/30/20 12:00,Unknown,WY,USA,Other,2 minutes,"Seen from plane, amazing shadow of craft in clear sky that is stationary and changes shape over 2 minutes",12/23/20,
11/30/20 08:30,Pigeon Forge,TN,USA,Triangle,5 minutes,pigeon Forge light spotting and Sky UFO,12/23/20,
11/30/20 00:40,Huntsville,AL,USA,Light,5-10 seconds,"Saw a teal light , thought it was lightening at first but the teal color was solid and stayed there for a few seconds and blinked a few",12/23/20,
11/30/20 00:01,Lacey,WA,USA,,,MADAR Node 50,12/23/20,
11/29/20 21:51,Providence,RI,USA,Circle,2 minutes,November 29th 2020 9:50pm I changed our names in my report for privacies sake I was laying in bed after walking my girlfriend to her,12/23/20,
11/29/20 21:09,miami,FL,USA,Fireball,2 minutes,"I'm used to watch the sky specially at the high of my building, yet never seen a flying fireball with a perfect gps coordinates.",12/23/20,
11/29/20 20:30,Windsor,ON,Canada,Unknown,5 minutes or less,Unknown fast moving / rapidly stopping light in night sky,12/23/20,
11/29/20 19:14,Hanover,MD,USA,,,MADAR Node 77,12/23/20,
11/29/20 17:40,Delray Beach,FL,USA,Oval,20 minutes,Round/oval/disc shaped black craft in the eastern sky up and left of the moon,12/23/20,
11/29/20 15:45,North Port,FL,USA,,,MADAR Node 147,12/23/20,
11/29/20 13:00,Bensalem,PA,USA,Other,30 seconds,"Tic-tac appears approx 200 feet above in Neshaminy State Park, noticed because light reflects off of it into my eyes. I tell my girlfri",12/23/20,
11/29/20 02:00,Cambridge,OH,USA,Rectangle,30 minutes,A stationary object was seen apparently hovering with red flashing lights and white stationary lights it did no move for a half hour,12/23/20,
11/29/20 01:05,Astoria,OR,USA,Circle,:03 seconds,"Round, white object traveled at rapid pace from South to North at 1:05am and looked to maybe fall in the Columbia River. Not like a typ",12/23/20,
11/29/20 01:00,Brooksville,FL,USA,Circle,15 seconds,1am exactly. Approximately 60ft from the ground. extremely bright white round shape approximately 20ft in diameter. Caught my attention,12/23/20,
11/28/20 23:35,lenexa,KS,USA,Changing,1.5 hours,Rainbow like flashing object that was stationary in the sky,12/23/20,
11/28/20 21:30,Malverne,NY,USA,Fireball,5 minutes,Bright orange object with no sound moving across sky then disappeared,12/23/20,
11/28/20 19:20,Sanford,FL,USA,,,MADAR Node 91,12/23/20,
11/28/20 17:14,Ardmore,OK,USA,Other,5 seconds,"The creature was tall, slender, dark humanoid.",12/23/20,
11/28/20 17:00,Buchanan,MI,USA,Fireball,1 minute,large arching fireworks; no sound; two large glowing circles formed an arch and then split and disappeared,12/23/20,
11/28/20 13:00,Menifee,CA,USA,Cigar,very short time-less than,I was taking a walk on November 28th in the early afternoon and noticed a cigar shaped object in the sky hovering/floating vertically i,12/23/20,
11/28/20 07:30,North Wilmington,DE,USA,Fireball,20 min,7 fireballs moving horizontally very slowly,12/23/20,
11/28/20 06:13,Manchester,CT,USA,,,MADAR Node 151,12/23/20,
11/28/20 02:45,Albany,KY,USA,Circle,<2 seconds,Odd light that changed directions.,12/23/20,
11/27/20 23:02,Newton,WI,USA,Oval,Seconds,Coming home from work I saw a reddish color orb move from east to west horizon to horizon then seconds later it moved from west to east,12/23/20,
11/27/20 20:00,Manchester,CT,USA,Sphere,30 seconds,Glowing blue ball of light moving horizontally across sky then suddenly dropping straight down quickly,12/23/20,
11/27/20 19:00,Mesa,AZ,USA,Disk,,I saw about 10 or so glowing objects in the sky on my way home driving in my car. I stopped to take a look.,12/19/21,
11/27/20 18:04,Oak Harbor,WA,USA,,,MADAR Node 58,12/23/20,
11/27/20 16:00,Stockton,CA,USA,Sphere,45 seconds,Driving down the road with my wife and I spotted a silver sphere ahead of us. I pulled out my phone and recorded some footage before It,12/23/20,
11/27/20 10:44,Elizabeth,CO,USA,,,MADAR Node 34,12/23/20,
11/27/20 07:37,Springfield,MO,USA,,,MADAR Node 36,12/23/20,
11/27/20 06:00,Belton raymore,MO,USA,Unknown,1 hr,Red green white Light blinking and twinkling in sky hovering about a mile up in clear sky,12/23/20,
11/27/20 05:00,Rolla,MO,USA,Other,,It was shaped like a boomerang and flying low there were lights in the front and as it passed over we could hear a humming noise,12/23/20,
11/27/20 04:00,Eden,ID,USA,Light,Over 1hour,Bright object hovering for more than a hour direction East of my house,12/23/20,
