Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
8/31/21 00:00,Pepperell,MA,USA,Light,20 minutes,This is the second time I have reported a sighting. I called your within a week number. Left a message and got nothing back. I have cal,9/7/21,
8/31/21 23:00,Houston,TX,USA,Light,7 seconds,strange lights playing tagg ((NUFORC Note: Witness does not indicate date of sighting. PD)),9/7/21,
8/31/21 20:35,Spokane,WA,USA,Fireball,5 seconds,"Orange ball of light heading east, fast, silent, then disappeared",9/7/21,
8/31/21 17:51,Franklin,KY,USA,,,MADAR Node 54,10/19/21,
8/31/21 12:45,Unionvale,NY,USA,Rectangle,7 minutes,Rectangular craft hovering over mountain road,9/7/21,
8/31/21 09:38,Pine City,NY,USA,,,MADAR Node 82,10/19/21,
8/30/21 22:30,Clarksville,TN,USA,Light,2 seconds,two orange lights side by side with what can only be described as a orangish red comet tail shooting down from the sky very low,9/7/21,
8/30/21 22:00,Wichita Falls,TX,USA,Diamond,20 minutes,Walked outside.. didn't think much of it with stars & nighttime sorties near AFB. But sat out there are what appeared as a star.. this,9/7/21,
8/30/21 16:59,Boise,ID,USA,,,MADAR Node 111,10/19/21,
8/30/21 12:39,Watsonville,CA,USA,,,MADAR Node 105,10/19/21,
8/30/21 11:04,Roswell,NM,USA,Disk,1 minute,Photographed something I can not explain 8/30/2021 NW of Roswell NM.,10/19/21,
8/30/21 04:45,Sandpoint,ID,USA,Other,~3-4 minutes,"Looking toward Western sky, my sister and I watched an object with a bright, white light at the head and a smaller, white light at the",9/7/21,
8/30/21 04:45,Ruskin,FL,USA,Disk,1:00,Bright saucer shape floating in the sky,9/7/21,
8/30/21 01:15,Clarksville,TN,USA,,,MADAR Node 138,10/19/21,
8/29/21 23:30,Essex (UK/England),,United Kingdom,Light,15 seconds,A very bright light that moved behind a cloud and flew off very quickly.,9/7/21,
8/29/21 22:00,Surrey (Canada),BC,Canada,Light,5 minutes,Satellite changed direction while I watched,9/7/21,
8/29/21 22:00,Atlantic Beach,NC,USA,Light,>1 hour,Small white lights moving quickly same paths,9/7/21,
8/29/21 21:00,Durham,NC,USA,Fireball,40 minutes,Bright white and red/orange lights flashing and darting around in the night sky. I watched it for about 40 minutes and took 2 videos wi,9/7/21,
8/29/21 14:10,Youngstown,OH,USA,,,MADAR Node 73,10/19/21,
8/29/21 12:30,Des Moines,WA,USA,Sphere,3 seconds,Spherical White Object Seen from Aircraft While Landing at SeaTac Airport,9/7/21,
8/29/21 05:39,Shoreline,WA,USA,Light,1 minute,Bright light on object.,9/7/21,
8/29/21 03:35,Columbus,OH,USA,Egg,Maybe 20 seconds,I was homeless living in a tent with my GF at the time. Woke up to a loud metallic hum. Sat up and saw a craft hovering in the field,3/4/22,Yes
8/29/21 02:30,Lubbock,TX,USA,Circle,30 minutes,"Saucer shaped craft surrounded by pulsating, expanding and contracting white and green light followed me and wanted me to see it.",10/19/21,
8/29/21 01:25,Albany,OR,USA,Light,5 minutes,Bright white light seen for 30 miles,9/7/21,
8/28/21 23:11,Pine City,NY,USA,,,MADAR Node 82,10/19/21,
8/28/21 22:30,Manorville,NY,USA,Light,10 minutes,"On Captain Daniel Roe Highway, a driver and I saw a repeating flash of light trail across the sky. I do not recall which direction the",9/7/21,
8/28/21 21:12,Alton (Hampshire)(UK/England),,United Kingdom,Other,3-4 minutes,"two blue/purple lighted craft flying next to/and near to each other in night sky at moderate speed towards the town of alton,hampshire",9/7/21,
8/28/21 20:30,Chattanooga,TN,USA,Other,9 minutes,"Brilliant Illumination fixed spot in sky, did not move, then dissipated",9/7/21,
8/28/21 20:00,Norris City,IL,USA,,,MADAR Node 115,10/19/21,
8/28/21 19:00,Arlington,MA,USA,Other,5 minutes,Object that looked like an upside down key flying across sky,5/31/22,
8/28/21 17:47,Rome,GA,USA,Sphere,20 seconds,Odd object moving with no sound,5/31/22,Yes
8/28/21 17:45,Issaquah,WA,USA,Circle,>10 minutes,White reflective sphere about the size of a star seen in the daylight hours,9/7/21,
8/28/21 15:28,Berryville,AR,USA,Cylinder,1 min,Cylinder moving in and out of clouds Northwest Arkansas,10/19/21,
8/28/21 05:06,Jonesboro,AR,USA,,,MADAR Node 143,10/19/21,
8/27/21 16:58,Boise,ID,USA,,,MADAR Node 111,10/19/21,
8/27/21 05:24,Jonesboro,AR,USA,,,MADAR Node 143,10/19/21,
8/27/21 03:00,Mississuga (Canada),ON,Canada,Oval,2.5 hours,Two brightly shining objects cycle up and down at night above lake,9/7/21,
8/27/21,Bothell,WA,USA,,,Starlight UFO in sky going in odd directions,9/7/21,
8/26/21 00:00,Portsmouth,OH,USA,Formation,20 minutes,I just happen to scan the sky as I often do and saw 4 lights in a triangle formation moving from West to east. As they grained altitude,9/7/21,
8/26/21 22:25,Milton,ON,Canada,Fireball,40 minutes,Two bright orange balls of light blinking in and out of visibility at intermittent times over the span of an hour,9/7/21,
8/26/21 22:00,Littleton,MA,USA,Triangle,10 seconds,"Triangular shaped, low flying object outline by bright multi-colored lights",9/7/21,
8/26/21 21:45,Duck,OH,USA,Light,30 minutes,"White orbs off Duck, NC",9/7/21,
8/26/21 20:45,Star Valley,AZ,USA,,,MADAR Node 53,10/19/21,
8/26/21 15:35,Oakland,CA,USA,Circle,30 seconds,"White round object around airplane level in the sky jumped around in zig-zag pattern like a mouse cursor, hovered, and disappeared.",9/7/21,
8/26/21 15:30,Land O Lakes,FL,USA,Light,15,Objects right before line of thunderstorms,9/7/21,
8/26/21 12:00,,CO,USA,Cigar,,"((HOAX)) I saw home world of, the little green men. They asked me to show them the location of Earth/my Homeworld.",9/7/21,
8/26/21 11:39,Cambridge,OH,USA,,,MADAR Node 137,10/19/21,
8/26/21 07:57,Royal Palm Beach,FL,USA,,,MADAR Node 76,10/19/21,
8/26/21 01:00,Granville,MA,USA,Light,3 hours,LED LIGHTS IN CORN FIELD AND WOODS.. ((NUFORC Note: Source of report elects to remain totally anonymous. PD)),9/7/21,
8/25/21 22:06,Sandbridge/Virginia Beach,VA,USA,Circle,27 seconds,Bright red/orange circular object,10/19/21,
8/25/21 21:05,Tigard,OR,USA,Light,2 minutes,"Fast moving bright light seen near Portland, OR. ((NUFORC Note: Report from airline captain. PD))",9/7/21,
8/25/21 20:48,Los Angeles,CA,USA,Light,1 minute,Ball of white light slowly traveling across the sky at a relatively low altitude,9/7/21,
8/25/21 20:24,Old Bridge,NJ,USA,Sphere,4:00 minutes,I was sitting in my back yard when I saw this strange star that seemed to be moving in the sky. I got my phone and videotaped in a sou,9/7/21,
8/25/21 20:00,Dayton,OH,USA,,24,Tmz and new York post and celebritys and you and authoritys knows about the supernatural test of a goddess I can do and part why UFO wa,9/7/21,
8/25/21 20:00,Dayton,OH,USA,,24,Add to extremely real reports and evidence UFO watching me and I have paranormal mouth I know of a planet were 2 moons and if your look,9/7/21,
8/25/21 13:41,Goshen,KY,USA,,,MADAR Node 182,10/19/21,
8/25/21 05:16,Salt Lake City,UT,USA,,,MADAR Node 175,10/19/21,
8/25/21 04:49,Boise,ID,USA,,,MADAR Node 111,10/19/21,
8/25/21 02:35,Tonopah,AZ,USA,Disk,20 minutes,"many disks/ lights seen through night detection, then an actual large dish object appears",9/7/21,
8/25/21 00:41,Lords Valley,PA,USA,,,MADAR Node 44,10/19/21,
8/24/21 23:45,Hoffman Estates,IL,USA,Teardrop,~15 minutes,Teardrop/tic-tac spotted with a greenish white tail as it vanished into thin air.,9/7/21,
8/24/21 22:20,Fayetteville,NC,USA,,,MADAR Node 174,10/19/21,
8/24/21 21:20,Melcroft,PA,USA,Light,5 minutes,"Hello, Tonight around 9:20pm I was traveling on route 711 in westmoreland county, just north of Normalville in the region of melcroft.",9/7/21,
8/24/21 11:53,St. Louis,MO,USA,,,MADAR Node 70,10/19/21,
8/24/21 08:38,Grand Junction,CO,USA,,,MADAR Node 75,10/19/21,
8/23/21 00:00,St.clair,MO,USA,Light,20 minutes,I live in the country.The ridge I took the video of with the huge pulsing light had nothing behind it ..no town or anything .It was a,9/7/21,
8/23/21 22:00,Seattle,WA,USA,Sphere,2 seconds,Saw two orbs while stargazing,9/7/21,
8/23/21 22:00,Boonton,NJ,USA,Circle,10 minutes,Unexplained lights over New Jersey.,9/7/21,
8/23/21 20:56,Glen Mills,PA,USA,Formation,>20 seconds,Four bright yellow-orange lights (three of which were in triangle formation) hovering/suspended in air,9/7/21,
8/23/21 20:49,New York City (Bronx),NY,USA,Circle,45 seconds,"On August 23, 2021 at 23:49 I witnessed one single, circular, brilliantly glowing light cruising the night sky. It was very intensely g",10/19/21,
8/23/21 18:49,Mansfield Township,NJ,USA,Disk,8 minutes,Saw it fade into cloud leaving hole in cloud,3/4/22,Yes
8/23/21 02:00,Tooele,UT,USA,Circle,20 seconds,Happened while smoking a cigarette at 2am.i could literally sense something in the sky above my house. I stared in the area I suspected,9/7/21,
8/23/21 00:00,Ft. Worth,TX,USA,Light,8 seconds,"Light passing by last night overhead. Soon as I flashed my flashlight on it,it reversed course at a high rate speed!",9/7/21,
8/22/21 23:15,Alameda,CA,USA,Oval,2 minutos,Oval shaped craft with orange lights around red lights in a cross shape,9/7/21,
8/22/21 22:39,Dallas,GA,USA,Triangle,"A minute or so, until it",3 bright flashing lights in triangle formation with a red light in the center,9/7/21,
8/22/21 22:30,Osgood,IN,USA,Light,5 minutes,Yellowish/orange Light seen by 3 people in South Eastern Indiana.,9/7/21,
8/22/21 21:55,Chelmsford,Essex,United Kingdom,Circle,30 seconds,Light moving across sky,3/4/22,Yes
8/22/21 19:42,Laramie,WY,USA,Cigar,10 min,It looked like a window and door less propane tank in the sky,5/31/22,
8/22/21 15:45,Greensboro,NC,USA,Circle,30 minutes,Cluster of potential UFOs,9/7/21,
8/22/21 08:46,Show Low,AZ,USA,,,MADAR Node 74,10/19/21,
8/21/21 23:47,El Paso,TX,USA,Circle,1 minute,1 ball turned into 2 balls.,9/7/21,
8/21/21 23:00,Washington,CT,USA,Unknown,3 to 5 minutes,I saw these lights three times now in two different locations,9/9/22,Yes
8/21/21 18:31,Coral Springs,FL,USA,Circle,23 seconds,Circular object with changing lights as movement changes,3/4/22,
8/21/21 07:09,Daytona Bch,FL,USA,Disk,Showed up in picture,Taking pictures on sunrise over the ocean and I noticed later in my photograph,6/22/22,Yes
8/21/21 06:30,Pine Valley,CA,USA,Circle,3 minutes,Circular craft/light moving like a tire,11/15/21,
8/20/21 23:50,Myrtle Beach,SC,USA,Cigar,>5 minutes,Green object hovers then rapidly changes elevation and direction.,9/7/21,
8/20/21 19:58,Salem,MA,USA,Disk,~1 minute,"Salem, MA UFO sighting; by the power plant, in the same location as one before, 69 YEARS AGO!",9/7/21,
8/20/21 11:11,Mt. Vernon,IN,USA,,,MADAR Node 119,10/19/21,
8/20/21 07:40,Sahuarita,AZ,USA,Oval,10-20 seconds,"Silver oval shape-changing object seen west of Sahuarita, Arizona in broad daylight",9/7/21,
8/20/21 05:21,Newburgh,IN,USA,,,MADAR Node 142,10/19/21,
8/20/21 02:00,Union,IL,USA,Rectangle,not sure-woke/ heard/saw,Beings on our property nightly coming over our house. Have proof.,5/31/22,
8/19/21 18:00,Dallas,TX,USA,Unknown,2 minutes,"Strange metallic, possibly triagular or pentagonal shaped, single object in sky above Dallas, TX on 8-19-21",8/20/21,
8/19/21 17:54,Nanuet,NY,USA,,,MADAR Node 180,10/19/21,
8/19/21 12:31,Marietta,GA,USA,,,MADAR Node 90,10/19/21,
8/19/21 09:45,Mifflinburg,PA,USA,Triangle,2-3 minutes,Slow flying triangle craft with flashing lights on all three points,8/20/21,
8/19/21 03:00,Santa fe,NM,USA,Fireball,5 minutes,The night of August 19th 2021 around 3:00 in the morning I look towards the ski base Santa Fe New Mexico and I saw a ball of light in t,9/7/21,
8/19/21 00:33,"Cape Coral, Fl",MD,USA,Light,2 minutes,Lights appear and change color.,9/7/21,
8/18/21 23:00,Libertyville,IL,USA,Unknown,10 seconds,I thought it was a drone,6/22/22,
8/18/21 21:11,Newark,NJ,USA,Sphere,3 seconds,It looked like a sphere surrounded by a fiery orange mist. Going North west. I spotted it over the Applebees restaurant.,9/7/21,
8/18/21 21:00,San Diego,CA,USA,Disk,10-15 minutes,Noticed bright light traveling at impossible speed and started to record,4/22/22,Yes
8/18/21 21:00,Lachute (Canada),QC,Canada,Circle,1m15sec,My friends girlfriend was first to see the object which at first looked like a fireball going from west to east but after 10-15 seconds,8/20/21,
8/18/21 20:40,St. Louis,MO,USA,Fireball,20 seconds,Green-light ball with a tail looks like a shadow was falling under 45 degrees for a 15-20! Seconds and disappears Was only one and do,8/20/21,
8/18/21 20:25,Barre,VT,USA,Triangle,3 minutes,Triangle shape with green and red blinking lights and one static white light hovering in the north sky over Barre VT before flying off,8/20/21,
8/18/21 20:20,St. Pete Beach,FL,USA,Sphere,5 minutes,Lighted object above Gulf of Mexico seen from St. Pete Beach displayed impossible up and down maneuvers and speed,9/7/21,
