Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
2/28/22 22:30,Norwalk,,USA,Oval,3min,Hovering object about 15 feet in diameter hovering over the highway. I though it was a plane but is stood still in the sky and we passd,4/22/22,
2/28/22 20:41,Saint Louis,MO,USA,Chevron,About one to two minutes,Tic Tac to Chevron,9/9/22,Yes
2/28/22 19:58,Staunton,VA,USA,Light,2 seconds,I saw 3 blinking lights then it disappears.,3/4/22,
2/28/22 19:05,Georgetown,DE,USA,Oval,3 minutes,White orb like object seen hovering over a field that changed its lighting from all white to 3 large diamond shaped colored lights,3/4/22,Yes
2/28/22 16:00,Indianapolis,IN,USA,,Two minutes,"Traveling east to west, approximately half mile apart.",3/4/22,
2/28/22 15:22,Jonesboro,AR,USA,,,MADAR Node 143,4/22/22,
2/28/22 11:27,Norris City,IL,USA,,,MADAR Node 115,4/22/22,
2/28/22 07:30,Burgaw,NC,USA,Triangle,10 seconds,The craft was extremely shiny and looked as to be a triangle.,3/4/22,
2/28/22 05:48,Shreveport,LA,USA,Triangle,,I have seen a bright light in the south east sky early in the mornings .,3/4/22,
2/28/22 05:28,Palm Beach Gardens,FL,USA,Unknown,,"Before going for a run Sat. morning, I snapped two photos of the moon and later noticed the images. ((NUFORC Note: Lens flare. PD))",3/4/22,Yes
2/28/22 03:53,Indio,CA,USA,Triangle,1:03,One craft had red color the other was a white orb,4/22/22,
2/27/22 21:00,Berlin,MD,USA,Circle,An hour on and off,Color changing lights flying around,3/4/22,
2/27/22 17:15,San Antonio,TX,USA,Diamond,less than a minute,Trapezoid/Diamond/Kite shaped mirrored object hanging perfectly still in the sunny cloudless sky,3/4/22,
2/27/22 16:34,Dothan,AL,USA,,,MADAR Node 195,4/22/22,
2/27/22 15:00,Queen Creek,AZ,USA,Star,it lasted about 30 second,Saw a star the held position and then moved.,4/22/22,
2/27/22 11:15,Des Moines,,USA,Teardrop,90 seconds,"Des Moines, WA 3 flying objects (2 disappeared; 1 fell to ground)",3/4/22,
2/27/22 08:47,Kansas City,MO,USA,,,MADAR Node 40,4/22/22,
2/27/22 01:53,Durango,CO,USA,Light,4 seconds,The light craft zoomed out from up behind my car and went in front of me above and kept going with a light trail behind it.,3/4/22,Yes
2/26/22 20:00,Everett,WA,USA,Unknown,10-15 minutes total,object or objects flying low from south to north,4/22/22,
2/26/22 17:47,Spring Hill,FL,USA,Circle,15 seconds or less,Circular flash in southern sky,3/4/22,
2/26/22 13:00,Tampa,FL,USA,Light,under 10 seconds,I saw a very white light in sky for about 8 seconds,4/22/22,
2/26/22 06:30,Columbus,GA,USA,Sphere,Continuous,Bright light hovering continuously. ((NUFORC Note: Object in video looks to us to be Venus. PD)),3/4/22,Yes
2/26/22 05:40,"BAUNTON, CIRENCESTER",Gloucestershire,United Kingdom,Unknown,2 to 3 minutes,Looked like a satellite initially,3/4/22,
2/26/22 03:00,CLIFTON,NJ,USA,Light,5 minutes,If you make the light object larger in the picture I took you can see the weird grey object behind it causing this light.,3/4/22,Yes
2/25/22 23:00,Seaford,NY,USA,Circle,10-30 seconds,It was quick and bright but I couldnt identify it,3/4/22,
2/25/22 22:50,Cleveland,TN,USA,Delta,75 sec,"3 lights moving perpendicular. By the distance between each light, I can say it was a large object.",3/4/22,
2/25/22 21:46,Indianapolis,IN,USA,,,MADAR Node 21,4/22/22,
2/25/22 20:10,Oshawa,Ontario,Canada,Light,1 minute,Near Above Round Single Pulses of Amber White Light 7-8 Times Under One Minute,3/4/22,
2/25/22 19:28,Sunderland. Houghton le Spring,County Durham,United Kingdom,Circle,I got a minute of video,Got 1 min of footage. But event was about 3. Thing moved too fast and performed maneuvers that defy physics.,3/4/22,
2/25/22 15:00,Rio Rancho,NM,USA,Changing,3.0 seconds,My daughter (27 years old) was looking out the living room window and said are you seeing this shit. I then looked out and saw them,4/22/22,
2/25/22 11:54,Dothan,AL,USA,,,MADAR Node 195,4/22/22,
2/25/22 06:50,Sioux Falls,SD,USA,Other,On going (>40 min now),"Round, like a cluster of tiny diamond, with slow changing, turning?, or moving pattern, intermittent vacuole(s)",3/4/22,
2/25/22 04:05,"At sea (Long Beach, 3 hrs. S of)",CA,USA,Formation,2 minutes,We were on a cruise ship approximately 3 hours out of Long beach California. Sighted two glowing orbs and one beneath the surface of th,3/4/22,
2/25/22 00:16,Laytonville,CA,USA,Chevron,Hour and still viewing,Numerous craft multicolor flashing coming,3/4/22,Yes
2/24/22 23:01,Bismarck,ND,USA,Disk,I. On my camera at 11 + 6,Appears on a clip from blink camera,3/4/22,
2/24/22 23:00,Bismarck North Dakota,,United States Minor Outlying Islands,Disk,Still seen 6am on blink,It appeared on my blink camera clips.,9/9/22,
2/24/22 19:45,Fonda,NY,USA,Sphere,10-15 minutes observed,Pulsating light orbs resembling jellyfish movement,3/4/22,
