Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
3/31/22 23:50,Lincoln,CA,USA,Circle,10+ min,2 Floating / Hovering Circles of Light,4/22/22,
3/31/22 20:57,Hickory,NC,USA,Light,2 minutes,Light saw making a circular rotation repeatedly. You could see half of the circle being made then the other half would disappear.,4/22/22,
3/31/22 14:08,Coupeville,WA,USA,Sphere,9 seconds approx,Black sphere high in sky moving at fast speed,4/22/22,
3/31/22 12:07,Bloomington,IN,USA,Triangle,A long time.,I have managed to get in a Fight with Invading Extraterrestrials,4/22/22,Yes
3/31/22 10:32,St. Louis,MO,USA,,,MADAR Node 70,4/22/22,
3/31/22 06:35,St. Petersburg,FL,USA,Light,few secs,"Light shot across the sky above my head. It was very low. No shape, sound or contrail. The speed was extremely fast. From NE to SW.",4/22/22,
3/30/22 23:18,Fort Collins,CO,USA,Cigar,30-40 secs,Cigar-shaped object moving at about 250 mph at about 400 feet altitude.,6/22/22,
3/30/22 22:00,Salton City,CA,USA,Light,4-5 min,My friend and I witness approximately 13 very bright amber yellow round lights that held in a hover position they changed formation,4/22/22,Yes
3/30/22 21:00,Salem,OR,USA,Formation,30 seconds,Formation of 5-6 circluar objects,4/22/22,
3/30/22 20:42,Denver,CO,USA,Disk,,"going on a walk and we saw a disk in the sky very bright and almost was blinding, heard a sound hurt my eardrums,dogs braked like hell",4/22/22,
3/30/22 20:21,Buffalo,NY,USA,,,MADAR Node 163,4/22/22,
3/30/22 20:14,Wahiawa,HI,USA,,47 seconds,A stationary blinking light amongst the stars,4/22/22,
3/30/22 16:03,Jacksonville,FL,USA,Cigar,About 20 seconds,Could see a cigar shaped object behind and then over taking an airliner very high up in the sky.,4/22/22,
3/30/22 11:54,Littleton,CO,USA,Circle,A few minutes,Craft flew right over my car as I was driving North on Santa Fe,4/22/22,
3/30/22 11:51,Elizabeth,CO,USA,,,MADAR Node 34,6/22/22,
3/30/22 11:49,Estes Park,CO,USA,,,MADAR Node 156,6/22/22,
3/30/22 05:42,Jonesboro,AR,USA,,,MADAR Node 143,4/22/22,
3/30/22 04:32,Estes Park,CO,USA,,,MADAR Node 156,6/22/22,
3/29/22 22:10,Wappingers Falls,NY,USA,Light,10 minutes,Driving home when I noticed a blue glow moving slowly in the sky..,4/22/22,Yes
