Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
4/30/22 22:40,Quapaw,OK,USA,Disk,1 minute,Motorized disco ball moving with ZERO sound across sky.,5/31/22,Yes
4/30/22 22:30,Witnica,,Poland,Formation,1min,"oblong, large and long structure",5/31/22,
4/30/22 22:18,Lincoln,NH,USA,Changing,,Changing from diamond to square,5/31/22,Yes
4/30/22 22:08,Sodus,NY,USA,Sphere,20 Minutes (?) Perhaps 30,"4 spherical, all of different luminosity fasind/brightening. The brightest remained always while others drifted in and out of sight. Br",5/31/22,
4/30/22 21:10,Moab,UT,USA,Circle,10 minutes,Saw circle shaped object with green and red lights flying fast at different altitudes,5/31/22,
4/30/22 21:00,Binghamton,NY,USA,Sphere,5-10 minutes,"Orange/reddish light, slightly pulsating in brightness (~4 sec intervals) moving from southeast to south. Occured 3 times.",5/31/22,Yes
4/30/22 17:45,Brooklyn,NY,USA,Formation,30 minutes,I looked in the bright blue sky and saw a large formation of white discs.,9/9/22,Yes
4/30/22 14:55,Fountain Valley,CA,USA,Egg,30 seconds,I saw two quick moving white egg shaped objects,5/31/22,
4/30/22 12:30,Biloxi,MS,USA,Triangle,15-20 seconds,"Shiny metallic triangle that approached Military helicopter, with blue light on bottom and accelerated at incredible speed",6/22/22,Yes
4/30/22 05:50,Oneida,TN,USA,Circle,Watched and took pictures,Watched this thing for at least 20 minutes. It never moved,5/31/22,Yes
4/30/22 05:35,Lafayette,LA,USA,Light,5:45am,Glowing big starts/ ufos,5/31/22,Yes
4/30/22 05:33,Ephrata,PA,USA,Light,About 15 minutes,"Noticed lights in sky, not plane or stars",5/31/22,Yes
4/30/22 05:13,Campbells Bay,Quebec,Canada,Sphere,,Sphere shape stationary glowing object ((NUFORC Note: Conjunction of Venus and Jupiter. PD)),5/31/22,Yes
4/30/22 04:42,Jonesboro,AR,USA,,,MADAR Node 143,5/31/22,
4/30/22 04:34,Montgomery,PA,USA,Circle,Till complete day light,Was night fishing all night when 2 artificial looking orbs appeared in the sky stationary,6/22/22,
4/30/22 04:30,Elberta,,USA,Light,All morning,First spotted over water then 6 miles down the road and an hour later the same lights appear at my house ((NUFORC Note: Two planets.)),5/31/22,Yes
4/30/22 04:19,Ocotillo wells,CA,USA,Disk,15 min,The ufo came right before Jupiter and venus became visible,5/31/22,Yes
4/30/22 02:06,Greensburg,PA,USA,Cylinder,10 mins,Intelligence analyst alien abduction event,5/31/22,
4/30/22 00:08,Magherafelt,Ulster,Ireland,Light,2-4 minutes,Star like orb with huge aura travelling across visible skyline within 4 minutes,5/31/22,
4/30/22 00:06,Knaresborough,North Yorkshire,United Kingdom,Light,Around 5 minutes,Very bright light with a haze around it.,5/31/22,Yes
4/29/22 23:05,Bristol,,United Kingdom,Circle,10 seconds,"Clear sky,both passed out of sight within seconds",5/31/22,
4/29/22 22:30,Moses lake,WA,USA,Cigar,10seconds,Cigar shaped object spotted from Stratford at.,5/31/22,
4/29/22 22:22,Pasco,WA,USA,Disk,30 seconds,Disc within a cloud blue hue,5/31/22,
4/29/22 22:20,Terrace,BC,Canada,Cigar,About 5 minutes,"Large, silent, illuminated cigar-shaped object passed slowly a over our heads, west to east",5/31/22,Yes
4/29/22 22:15,Iowa City,IA,USA,Changing,5 minutes,4 white circular lights moving criss-cross in a counter-clockwise fashion slowly moving across the sky.,5/31/22,
4/29/22 22:00,Alamogordo,NM,USA,Light,1 minute,Hovering Bright white light overhead then disappears,5/31/22,
4/29/22 21:45,Okotoks,AB,Canada,Cylinder,45 seconds,Huge cylinder silently crosses the sky.,5/31/22,Yes
4/29/22 19:35,Dallas,TX,USA,Formation,3 to 5 minutes,Bird-like glints of light move across the sky like a vortex in broad daylight.,5/31/22,
4/29/22 15:23,Aguadilla,,Puerto Rico,Changing,5 minutes,We saw a tic tac turn into a dreidel and speed off in a light,6/22/22,
4/29/22 09:50,St. Louis,MO,USA,,,MADAR Node 70,5/31/22,
4/29/22 08:02,Vienna,VA,USA,Circle,About 2 miners,Circle shaped object that rotates at a high altitude,5/31/22,Yes
4/29/22 05:33,Kitchener,ON,Canada,Circle,15 plus mins,"Two bright circular objects, bigger than any star just standing still.",9/9/22,Yes
4/28/22 23:58,LONG BEACH,CA,USA,Circle,I few hours,Was on the balcony smoking I have videos,5/31/22,
4/28/22 21:12,Holland,MI,USA,Other,N/a,I had video going in the background and have been feeling strange I have original video photos etc,5/31/22,Yes
4/28/22 21:04,Grand Junction,CO,USA,,,MADAR Node 75,5/31/22,
4/28/22 19:30,Glendale,MN,USA,Egg,10 seconds,Bright purple flying object about 3-5k feet altitude traveling SW to NE at 3x the speed of commercial airliners. Completely silent.,6/22/22,Yes
4/28/22 13:03,Oaklandon,IN,USA,,,MADAR Node 87,5/31/22,
4/28/22 10:07,Loyalton,PA,USA,Unknown,4 mins?,"Big object gliding lighting up in the sky, caught my eye!",5/31/22,
4/28/22 06:00,Columbus,GA,USA,Light,10 min,Amber lights hovering,5/31/22,
4/27/22 22:35,Humble,TX,USA,,Few minutes 3 or more,Looked up and seen them flying over not fast but semi fast then zoomed away out of sight quickly,5/31/22,Yes
4/27/22 22:15,Spring hill,FL,USA,Triangle,Hour,Couldn't get camera to adjust craft to far up in sky,5/31/22,
4/27/22 22:00,Hibbing,MN,USA,Chevron,7-10 seconds,A large V shaped object flew overhead.,5/31/22,
4/27/22 20:15,The Villages,FL,USA,Chevron,10 minutes,Thought it was a plane at first but it was stationary for 10 minutes. Moved within seconds after I took photo and before I could get 2,5/31/22,Yes
4/27/22 18:45,Moore,OK,USA,Cigar,5 minutes,Slow moving cigar shaped object,5/31/22,
4/27/22 06:45,Oldsmar,FL,USA,Rectangle,3-5 seconds,Rectangle which split into two dots while moving,5/31/22,
