DateTime,City,State,Country,location
2021-09-20 20:15:00,Richfield,WI,USA,"Richfield,WI,USA"
2021-09-20 19:30:00,Pacific Palisades,CA,USA,"Pacific Palisades,CA,USA"
2021-09-20 19:20:00,Augusta,ME,USA,"Augusta,ME,USA"
2021-09-20 18:13:00,Oklahoma City (northwest part),OK,USA,"Oklahoma City (northwest part),OK,USA"
2021-09-20 18:00:00,Urbandale,IA,USA,"Urbandale,IA,USA"
2021-09-20 12:00:00,Williams town,NJ,USA,"Williams town,NJ,USA"
2021-09-20 08:03:00,Los Altos,CA,USA,"Los Altos,CA,USA"
2021-09-20 03:45:00,Corcoran,CA,USA,"Corcoran,CA,USA"
2021-09-20 03:00:00,Wells,ME,USA,"Wells,ME,USA"
2021-09-20 01:00:00,Salineville,OH,USA,"Salineville,OH,USA"
2021-09-20 00:00:00,Reykjavík (Iceland),,Iceland,"Reykjavík (Iceland),Iceland"
2021-09-19 23:15:00,kingston,ON,Canada,"kingston,ON,Canada"
2021-09-19 21:30:00,Nyack,NY,USA,"Nyack,NY,USA"
2021-09-19 19:15:00,McCall,ID,USA,"McCall,ID,USA"
2021-09-19 18:28:00,Thorofare,NJ,USA,"Thorofare,NJ,USA"
2021-09-19 18:00:00,Spokane,WA,USA,"Spokane,WA,USA"
2021-09-19 17:10:00,Montreal,QC,Canada,"Montreal,QC,Canada"
2021-09-19 13:45:00,Toms River,NJ,USA,"Toms River,NJ,USA"
2021-09-19 09:41:00,Plainfield,CT,USA,"Plainfield,CT,USA"
2021-09-19 09:41:00,Plainfield,CT,USA,"Plainfield,CT,USA"
2021-09-19 06:00:00,Osceola,IN,USA,"Osceola,IN,USA"
2021-09-19 05:15:00,Jonesboro,AR,USA,"Jonesboro,AR,USA"
2021-09-19 03:30:00,Glen Burnie,MD,USA,"Glen Burnie,MD,USA"
2021-09-18 22:27:00,Sarasota,FL,USA,"Sarasota,FL,USA"
2021-09-18 21:15:00,Mesquite,TX,USA,"Mesquite,TX,USA"
2021-09-18 20:00:00,Yucca valley,CA,USA,"Yucca valley,CA,USA"
2021-09-18 19:32:00,Huntington,NY,USA,"Huntington,NY,USA"
2021-09-18 18:00:00,Orange,CA,USA,"Orange,CA,USA"
2021-09-18 17:52:00,Millerton,PA,USA,"Millerton,PA,USA"
2021-09-18 17:45:00,Mastic,NY,USA,"Mastic,NY,USA"
2021-09-18 16:00:00,Hampden,MA,USA,"Hampden,MA,USA"
2021-09-18 15:00:00,Los Angeles,CA,USA,"Los Angeles,CA,USA"
2021-09-18 04:09:00,Fountain,FL,USA,"Fountain,FL,USA"
2021-09-18 03:30:00,Bakersville,NC,USA,"Bakersville,NC,USA"
2021-09-18 01:57:00,Alburquerque,NM,USA,"Alburquerque,NM,USA"
2021-09-17 22:10:00,Laguna Hills,CA,USA,"Laguna Hills,CA,USA"
2021-09-17 22:00:00,Livingston,TN,USA,"Livingston,TN,USA"
2021-09-17 21:25:00,Moses Lake,WA,USA,"Moses Lake,WA,USA"
2021-09-17 18:15:00,Ottawa (Canada),ON,Canada,"Ottawa (Canada),ON,Canada"
2021-09-17 05:59:00,Valley City,ND,USA,"Valley City,ND,USA"
2021-09-16 23:30:00,Cherry Grove,SC,USA,"Cherry Grove,SC,USA"
2021-09-16 21:00:00,Adelaide (Australia),South Australia,Australia,"Adelaide (Australia),South Australia,Australia"
2021-09-16 19:45:00,Pocatello,ID,USA,"Pocatello,ID,USA"
2021-09-16 19:45:00,Roseville,MI,USA,"Roseville,MI,USA"
2021-09-16 19:14:00,Hudson Falls,NY,USA,"Hudson Falls,NY,USA"
2021-09-16 19:00:00,Tucson,AZ,USA,"Tucson,AZ,USA"
