,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
26,1/29/20 20:10,San Diego,CA,USA,Fireball,2 seconds,meteor or space junk?,1/31/20,
27,1/29/20 19:45,Brady,TX,USA,Light,Lights disappear,"Driving north on US 87 just outside Brady, Texas to yellow circle lights fade and disappear.",1/31/20,
28,1/29/20 19:25,Cheektowaga,NY,USA,Other,75 minutes,"It looked like a pyramid with 7+ white lights, 2 blinking red lights and 1 blinking green light. It hovered in the air motionless for a",1/31/20,
29,1/29/20 19:00,Peterborough (Canada),ON,Canada,Formation,Still going,"A straight line of U F O's heading from west to east in the north sky. They were evenly spaced. ((""Starlink"" satellites??))",1/31/20,
30,1/29/20 18:14,Newburgh,IN,USA,,,MADAR Node 142,2/25/20,
31,1/29/20 17:43,Oakdale,PA,USA,Cylinder,7 seconds,gray cylinder with dim red and white lights vanished from sight.,1/31/20,
32,1/29/20 16:00,Littleton,CO,USA,Cigar,30 seconds,Sighting over Littleton on Wednesday.,2/7/20,
33,1/29/20 11:30,Bakersfield,CA,USA,Changing,1 minutes,One orange object with tail following turned into three objects. All had tails at first then were orange lights. Could have moved aroun,1/31/20,
34,1/29/20 09:07,Melbourne,FL,USA,Rectangle,30 seconds,I was driving northbound on I-95 around 9:00 am when I noticed an accident in the opposite southbound lane with traffic building up. As,1/31/20,
35,1/29/20 05:30,Coeur d'Alene,ID,USA,Circle,30 seconds,I saw bright green light pretty far up above my city while leaving the gym this morning. Just when. I was trying to figure out what it,1/31/20,
36,1/29/20 01:00,Warren,ME,USA,Light,40 minutes,Flashing green orb,1/31/20,
37,1/28/20 23:44,Colonial Heights,VA,USA,Triangle,2-3 minutes,"3 white lights and a blinking white and red light hovering, then moving slowly.",1/31/20,
38,1/28/20 21:15,Varnville,SC,USA,Other,10 minutes,"Last night my husband was out walking the dogs and he yelled for me to step out the back porch and look up, at the tree line in the sky",1/31/20,
39,1/28/20 21:00,Anywhere (Canada),BC,Canada,Unknown,1 second,The sound of silence...,1/31/20,
40,1/28/20 20:10,Palm Harbor,FL,USA,Light,ongoing,Bright light that shined out rays of light in all different directions and patterns. ((NUFORC Note: Venus?? PD)),1/31/20,
41,1/28/20 19:30,Longs,SC,USA,Light,5 minutes,I was walking my dog and saw 3 red blinking lights almost vertical but not straight. This was northeast/north. I thought this was odd a,1/31/20,
42,1/28/20 19:00,Okotoks (Canada),AB,Canada,Light,45 seconds,"Five lights equally separated and travelling in a line quite fast. ((""Starlink"" satellites??))",1/31/20,
43,1/28/20 18:45,North Hollywood,CA,USA,Other,15 minutes,2 observers. Brightness of Jupiter. Conscious attention scared em away. Immediate reaction.,1/31/20,
44,1/28/20 18:45,Davis,CA,USA,,10 secondsss,Two very bright star like objects seen near Orions Belt,1/31/20,
45,1/28/20 18:35,Deming,WA,USA,Triangle,10 minutes,"They were all in a straight line as I looked the line of lights was almost horizon to horizon. ((""Starlink"" satellites??))",1/31/20,
46,1/28/20 18:35,Natchitoches,LA,USA,Light,5 minutes,Orange/white light in the sky.,1/31/20,
47,1/28/20 18:34,Shoreline,WA,USA,Light,20 minutes,"12-13 lights witnessed, traveling perpendicular to clouds and stars, some in loose formation with no Civilian Airliner Nav strobes.",1/31/20,
48,1/28/20 18:30,Benton City,,USA,Other,10 minutes,"I seen a line of lights equally spaced seemed very high in the sky. ((""Spacelink"" satellites??))",2/25/20,
49,1/28/20 18:25,Honolulu,HI,USA,Changing,38 seconds,Me and my friend were working on my van in my mom's driveway. helicopters have been flying low buzzing her house very low shaking windo,1/31/20,
50,1/28/20 18:05,Woodland,CA,USA,Sphere,~7 minutes,"As I was leaving work on Tuesday (1/28/2020), I looked to the night sky and saw about five (possibly more) orange orbs in the sky. They",1/31/20,
51,1/28/20 17:35,N. Myrtle Beach,SC,USA,Chevron,4-5 minutes,Huge Chevron Shaped craft,1/31/20,
52,1/28/20 15:30,Las Vegas,NV,USA,Triangle,30,"Shaped like a triangle, transparent like a light cloud camouflaged with the background but clear shape that could be seen through. Larg",1/31/20,
53,1/28/20 09:45,Asheville,NC,USA,Egg,5 seconds,dark pill shaped object over the black mountain range,2/7/20,
54,1/28/20 07:00,Cork (City)(Ireland),,Ireland,Circle,10 minutes,While standing on our decking having my morning tea we noticed what appeared at first to be a satellite passing over us coming out of t,2/7/20,
55,1/28/20 06:53,North Port,FL,USA,,,MADAR Node 147,2/25/20,
56,1/28/20 06:26,Valley City,ND,USA,,,MADAR Node 93,2/13/20,
57,1/28/20 05:30,Green River,UT,USA,Teardrop,5-8 seconds,"Teardrop shaped object, Green River, Utah.",1/31/20,
58,1/28/20 05:19,Royal Palm Beach,FL,USA,,,MADAR Node 76,2/13/20,
59,1/27/20 23:00,Grand Island,NY,USA,Oval,15 minutes,"MY UFO REPORTING OF 2002 IS GONE ? A SHARED ABDUCTION ON GRAND ISLAND N.Y. UNDER JUNE OF 1975 IS NO LONGER THERE ,,, after the abductio",2/7/20,
60,1/27/20 22:30,Fishersville,VA,USA,Oval,2 minutes,the craft was much larger than a helicopter and oval shaped grey with spinning colored lights and followed beside my car.,2/25/20,
61,1/27/20 22:30,Bangor,ME,USA,Flash,10 seconds,Was riding by Mount Hope Cemetery (2nd oldest cemetery in United States. My friend and I saw a big orange light manifest twice. Was big,2/7/20,
62,1/27/20 22:28,Lakewood,CA,USA,Unknown,1 minute,Large red pulsating light vanished.,2/7/20,
63,1/27/20 20:00,Meridian,ID,USA,Circle,5 seconds,My son was taking out the trash. We saw a fireball a few years ago right down the street & talk about it all the time. He started won,1/31/20,
64,1/27/20 20:00,Jupiter,FL,USA,Circle,15 minutes,"I recorded a object in the night sky on 01/27/2020 in Jupiter, FL. I observed the object appearing and disappearing at least 4 times in",6/25/20,
65,1/27/20 19:00,Rockvale,TN,USA,Other,hours,"Large Light formation in west/soutwest sky above the moon, 7PM Rockvale, Tennessee",2/7/20,
66,1/27/20 18:40,Weatherford,TX,USA,Unknown,30,Low flying/hovering helicopter sounding objects with bright white lights,2/7/20,
67,1/27/20 17:45,Oxford,MS,USA,Disk,Unknown,"3 blue lit UFOs seen at dusk near local Walmart in Oxford, MS",2/7/20,
68,1/27/20 11:23,Fishers,IN,USA,,,MADAR Node 84,2/13/20,
69,1/27/20 05:25,Newburgh,IN,USA,,,MADAR Node 142,2/25/20,
70,1/27/20,,,,,,I filed a report and it was never listed. I am skeptical of your authenticity. Most of your listings are formulaic and appear to be not,1/31/20,
71,1/26/20 23:30,Phuket (Thailand),,Thailand,,Continue,"Greetings from Thailand, coconut Island. I have not seen UFO with my eyes but since last night very strange occurrences. ((anonymous))",1/31/20,
72,1/26/20 23:00,Hazel Green,KY,USA,Triangle,45 minutes,"3 black triangles in formation flying low in a southeasterly direction, make no sound at all.",1/31/20,
73,1/26/20 20:21,Olympia,WA,USA,Light,15 minutes,Orange orbs with accompanying rumbling noise. ((anonymous report)),1/31/20,
74,1/26/20 20:17,Cochrane (Canada),AB,Canada,Unknown,8 minutes,"String on various lights on sky flying on straight line and disappearing one by one on the same spot. ((""Starlink satellites??))",1/31/20,
75,1/26/20 19:00,Bushkill,PA,USA,Changing,15 minutes,Lights changing shape,1/31/20,
76,1/26/20 18:15,Kenai,AK,USA,Egg,2 minutes,"Bright Red and Orange Egg shaped crafts flying about 500 feet, 6 in a row, no sound whatsoever, lights not blinking.",1/31/20,
77,1/26/20 18:00,Pasadena,TX,USA,Sphere,10 minutes,The orb/sphere was very a bright orange. It was very slowly moving (compared to a nearby aircraft that quickly flew nearby) It pulsated,1/31/20,
78,1/26/20 16:30,Fairfax,CA,USA,Fireball,2-3 seconds,low and close extremely bright white fireball Fairfax CA followed by loud boom.,1/31/20,
79,1/26/20 16:15,Santa Rsoa,CA,USA,Cylinder,10 seconds,"Bright green glowing cylinder, flying horizontally, in a steady direct line, disappearing abruptly without arcing, falling or flaring.",2/13/20,
80,1/26/20 06:45,Aynor,SC,USA,Unknown,45 seconds,"This orange/fiery object seemed as if were a plane on fire, and then I lost sight of it while driving after slowing down.",1/31/20,
81,1/26/20 04:13,Mobile,AL,USA,,,MADAR Node 63,1/31/20,
82,1/25/20 22:00,Coral Springs,FL,USA,Circle,1:39,It was 10:00 pm est and I was outside of my house and I looked up and saw a circle red light moving at a slow place from the North. I r,1/31/20,
83,1/25/20 21:24,Lawrenceville,GA,USA,,,MADAR Node 92,2/7/20,
84,1/25/20 21:00,Queen Charlotte Island,BC,Canada,,5 minutes,"On a Alaska night flight from Seattle to Juneau AK. Midway in the flight my daughter ask me what was outside the window,I look of in th",9/4/20,
85,1/25/20 18:12,Belfast (near)(Northern Ireland),,Yes,Circle,2 occasions around 1 mi,Very bright green and red lights.,1/31/20,
86,1/25/20 17:30,Peterborough (Canada),,Canada,Circle,1 minute,Circle of bright orange light moving across the sky and then suddenly disappeared,1/31/20,
87,1/25/20 17:20,Red Deer (Canada),AB,Canada,Other,10 minutes,"Silent, no man baskets, no light, floating in a nortward direction over Red Deer AB about 5:20 PM Jan 25/20",1/31/20,
88,1/25/20 07:23,Spencerville,IN,USA,,,MADAR Node 81,1/31/20,
89,1/25/20 06:25,Sanford,FL,USA,,,MADAR Node 91,2/7/20,
90,1/25/20 05:45,Salt Lake City,UT,USA,,15-20 minutes,"Witnessed during predawn clear sky succession of white lights 20-25 equally spaced. ((""Starlink"" satellites.))",4/9/20,
91,1/25/20 03:50,Hyattsville,MD,USA,Triangle,5 minutes,My boyfriend left out for work at 3:30AM. I get a call that woke me up out of my sleep. My boyfriend started freaking out on the phone.,1/19/21,
92,1/24/20 22:25,Roosevelt,UT,USA,Triangle,7 minutes,"lights over Roosevelt, UT",2/7/20,
93,1/24/20 20:50,Fort Lauderdale,FL,USA,Fireball,5 minutes,"Rotating discs that initially look like flashing fire balls moving in a row and disappearing ((""Starlink"" satellites??))",2/7/20,
94,1/24/20 19:45,Oklahoma City,OK,USA,Flash,1 second,Green light across sky,1/31/20,
95,1/24/20 19:30,Victoria (Canada),BC,Canada,Other,less than 2 hours,Multple sightings of slow-moving colored lights in night sky with one descent of red arced light to ground,6/25/20,
96,1/24/20 19:25,LARKSPUR,AB,Canada,Other,20 minutes,"I noticed 12 unusual bright lights in the Western sky. They seemed to be slowly drifting SouthEast in a perfectly straight line,",12/23/20,
97,1/24/20 19:15,Debolt (Canada),AB,Canada,Circle,20 minutes,"I witnessed a straight line of what looked like stars moving across the sky, perfectly spaced out. ((""Starlink"" satellites??))",2/7/20,
98,1/24/20 18:50,Manchester,CT,USA,Circle,2 hours,"Clear night with one bright circular object, aura, captivating",2/7/20,
99,1/24/20 18:00,Gorham,NH,USA,Disk,50 minutes,"1-24-20 followed from gorham nh to conway nh by very large to me disk shaped bright object for over 45 minutes plus,got video",1/31/20,
100,1/24/20 07:06,Rotonda West,FL,USA,Oval,1 second,3-dimentional object,2/7/20,
101,1/24/20 06:01,Cambridge,OH,USA,,,MADAR Node 137,2/7/20,
102,1/24/20 05:40,St. Louis,MO,USA,,,MADAR Node 70,1/31/20,
103,1/24/20 05:33,Valley City,ND,USA,,,MADAR Node 93,2/7/20,
104,1/24/20 02:00,Pawtucket,RI,USA,Circle,,I saw a flying saucer outside of a retail company but that was not the first a few years ago,2/7/20,
105,1/24/20 00:00,Tampa,FL,USA,Light,10 minutes,I was outside my house with my Boyfriend and I saw a red light in the sky in the same spot for about 10 minutes.,8/20/20,
106,1/23/20 21:43,Las Vegas,NV,USA,Light,1 minute,"Single flashing light flew across sky, light then went out and disappeared. Reappeared a second later and moves upwards then turned lef",2/7/20,
107,1/23/20 21:28,Waimanalo,HI,USA,Triangle,21:38,"I saw a bright light outside, so I ran out to look at it, my roommate joined me. It was a very bright light that was a ball of light li",2/7/20,
108,1/23/20 21:00,Marin County,CA,USA,Cylinder,20 minutes,Stationary groups of glowing lights seen at treetop level,4/9/20,
109,1/23/20 20:00,Lufkin,TX,USA,Formation,5 minutes,"On Hwy 69 near Hwy 59 on N side of Lufkin and noticed 10-12 orange & white lights in a row in the sky.((""Starlink"" satellites??))",2/7/20,
110,1/23/20 19:50,Memramcook (Canada),NB,Canada,Circle,1 hour,"Circle with red dots in Memramcook, NB",2/7/20,
111,1/23/20 19:35,Santa Fe,NM,USA,Changing,45 minutes,"Large Object Hovering/Flying with Flashing bright lights over Santa FE NM, witnessed by 3",2/7/20,
112,1/23/20 19:30,Fort Lauderdale,FL,USA,Circle,10 min,((HOAX)) I have video proof. ((NUFORC Note: Source elects to remain totally anonymous; provides no contact information. PD)),3/2/21,
113,1/23/20 19:27,Farmington Hills,MI,USA,,,MADAR Node 144,2/7/20,
114,1/23/20 18:20,Wilmington,DE,USA,Light,15 seconds,"What first appeared as a bright star, turns a dim red and starts jumping location.",2/7/20,
115,1/23/20 17:00,Toronto (Canada),ON,Canada,Rectangle,2 minutes,"I was shoveling snow on my balcony , When I seen something in my proifial vision, when I looked up it was about four or five feet away",2/7/20,
116,1/23/20 12:57,Mt. Vernon,IN,USA,,,MADAR Node 119,2/7/20,
117,1/23/20 10:41,Amargosa Valley,NV,USA,Disk,5 seconds,Two flat dark gray metallic discs hovering in Armagosa valley NV.,2/7/20,
118,1/23/20 06:15,Williamsport,PA,USA,Circle,15,"18 dots - 50k+ ft - Williamsport, PA. ((""Starlink"" satellites??))",2/7/20,
119,1/23/20 05:30,Plymouth Township,MI,USA,Triangle,10 minutes,Low flying object with bright white lights and two blinking red lights flying low overhead in residential area,2/7/20,
120,1/23/20 05:25,Valley City,ND,USA,,,MADAR Node 93,2/7/20,
121,1/23/20 00:30,Blackwood,NJ,USA,Fireball,5 minutes,I was driving down the road and looked up and saw a super bright red light in the sky. It looked close and was very big. It looked lik,1/31/20,
122,1/22/20 21:00,North Andover,MA,USA,Formation,25 seconds,5 star looking lights flying in pentagon formation,2/13/20,
123,1/22/20 20:00,Ripley,TN,USA,Light,20 minutes,Blue-green light in east sky moving in pattern,2/7/20,
124,1/22/20 19:47,Corpus Christi,TX,USA,Fireball,30,"There was a bright shining object flying fast across the sky, I took a video of this object as it was spinning fast in the sky",2/7/20,
125,1/22/20 19:18,Battle Creek,MI,USA,Light,2 minutes,Large Moving Bright Red Light Over Battle Creek,1/31/20,
126,1/22/20 19:00,Rosedale,MD,USA,Sphere,20 seconds,I look directly up and see a sphere of a bright light traveling west to east then the bright light dissapears and a small red light app,2/7/20,
127,1/22/20 18:45,San Francisco,CA,USA,Circle,2 minutes,White star craft unseen by naked eye,2/7/20,
128,1/22/20 18:40,Dalzell,SC,USA,Circle,5 minutes,"UFO?? Dalzell, South Carolina",2/7/20,
