,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
2453,4/20/20 23:34,Sanford,FL,USA,,,MADAR Node 91,6/25/20,
2454,4/20/20 23:00,Badger,IA,USA,,1.5 hours,((NUFORC Note: Witness provides no information. Later reports that event was caused by sighting of Venus. PD)),5/1/20,
2455,4/20/20 23:00,East Falmouth,MA,USA,Light,7 minute,"Around 11 PM, I looked out of my bedroom window and saw an orange light going straight from northeast to southwest. It looked about pla",6/25/20,
2456,4/20/20 22:25,Bath Township,OH,USA,Unknown,2 events each 30 secs,Observed multiple orange orbs in northern Ohio sky,6/25/20,
2457,4/20/20 22:15,Ponton (Canada),MB,Canada,Light,15 minutes,"Line of over 30 flying aircraft lights seen travelling, equal distance and speed, west to east, single file. ((Starlink satellites))",5/1/20,
2458,4/20/20 22:00,Chicago,IL,USA,Light,2 seconds,Chicago Ohare Sighting 4.20.20,6/25/20,
2459,4/20/20 22:00,Oak Harbor,WA,USA,Circle,3 hours,Orange Glowing Circle Hovering and Making Abrupt Course Changes in Western Washington.,6/25/20,
2460,4/20/20 21:22,Stamford,CT,USA,Unknown,15 seconds repeated sever,"Grid FN31FC Heard what sounded like a boom, or sonic type of a boom Stamford, Ct. Anyone else hear that. Possible high-flying jet causi",6/25/20,
2461,4/20/20 21:15,Collinsville,CT,USA,Circle,~1 hour,Lights in the shape of a V traveling westward and becoming circular and stationary in the west about 60° above the horizon.,6/25/20,
2462,4/20/20 21:00,Muncy,PA,USA,Formation,2-3 minutes?,"Formation of 8-10? star-like lights, equal distance apart, quietly gliding across sky from SW to NE ((Starlink satellites?))",6/25/20,
2463,4/20/20 20:30,Calera,OK,USA,Teardrop,5 minutes,Red yellow orb travels erratically.,6/25/20,
2464,4/20/20 19:29,Santo Domingo,,Santo Domingo,Sphere,5 minutos,Objeto volador no identificado a las arturas de las estrellas. ((Starlink satellites??)),5/1/20,
2465,4/20/20 11:30,Clinton,MI,USA,Light,3 seconds,White/yellow light appeared in the sky...shot off insanely fast and then disappeared.,6/25/20,
2466,4/20/20 11:15,Enterprise,AL,USA,Sphere,30,My 9 year old son and I both saw a dark grey sphere shaped craft.,6/25/20,
2467,4/20/20 09:35,Union,SC,USA,Other,2 minutes,04/20/2020 Bright White Triangular light lighting up woods with Yellow light towards the top of trees- SC,6/25/20,
2468,4/20/20 09:16,Fishkill/Wappingers/Beacon,NY,USA,Circle,Hour,"CHANGING COLOR CIRCULAR UFO - Dutchess County ((NUFORC Note: Venus is in the western sky, currently. PD))",6/25/20,
2469,4/20/20 08:55,Fairfax,VA,USA,,,MADAR Node 122,6/25/20,
2470,4/20/20 08:45,Sequim,WA,USA,Light,15 seconds,Bright light was seen east of Venus. Light was brighter then Venus. Headed north and slowly disappeared. Light vanished,6/25/20,
2471,4/20/20 03:29,Princeton,IN,USA,Triangle,7 mins,"Triangular object with blue lights on corners, red light in center, viewed with binoculars.",6/25/20,
2472,4/20/20 01:25,Estes Park,CO,USA,,,MADAR Node 158,6/25/20,
2473,4/20/20 00:15,Coleman,WI,USA,Circle,20 minutes,"Golden/orange very bright circular shaped UFO just northeast of Coleman, WI. Positioned very low just over the treetops. It was statio",6/25/20,
2474,4/19/20 00:00,Lake Orion,MI,USA,Other,25,15-20 Star looking Objects that were NOT stars. ((Starlink satellites?)),6/25/20,
2475,4/19/20 23:20,Mora,MN,USA,Triangle,5 seconds,3 very dim lights that formed a triange moving at a fast speed.,6/25/20,
2476,4/19/20 23:00,Watkins,MN,USA,Light,Idk,Rural Minnesota odd lights.,6/25/20,
2477,4/19/20 22:45,Schwebheim (Germany),,Germany,Light,10 minutes,These lights traveled in a highly disciplined file but had no sound. ((Starlink satellites)),5/1/20,
2478,4/19/20 22:30,Etobicoke (Canada),ON,Canada,Unknown,1.2 hours,Possible ORB in sky?,6/25/20,
2479,4/19/20 22:10,Darlington (UK/England),,United Kingdom,Light,30 minutes,Line of lights in the sky. ((Starlink satellites)),5/1/20,
2480,4/19/20 22:05,Saugus,MA,USA,Circle,30 minutes,"Bright white flashing roundish object, center of the object appeared to be emitting a red, then green, then bluish light at the center.",6/25/20,
2481,4/19/20 22:00,Wausau,WI,USA,Triangle,5 seconds,10-14 white triangles flying in symmetry with no lights or sound associated with it .,6/25/20,
2482,4/19/20 21:45,Ocean View,HI,USA,Light,1-2 minutes,One bright light circling from behind the cloud like a flashlight from above.,6/25/20,
2483,4/19/20 21:40,Leicester (UK/England),,United Kingdom,Formation,25 minutes,Looked out of bedroom window before turning in to bed and noticed 2 white stars close together but moving. ((Starlink satellites)),5/1/20,
2484,4/19/20 21:35,Baraut (India),,India,Triangle,10,I am sure I saw UFO. It was triangle and transparent from middle.,6/25/20,
2485,4/19/20 21:30,Lakeville,MN,USA,Light,30 minutes,Lights moving in single file line and direction toward NE sky. ((Starlink satellites?)),6/25/20,
2486,4/19/20 21:30,Boucherville (Canada),QC,Canada,Light,5 minutes,Sporadic crossing over each other flying. Not in formation at all and moving fast and zigzagging,6/25/20,
2487,4/19/20 21:30,River Falls,WI,USA,Light,fast,"lights in V formation, orbiting directly overhead 2 times within 45 minutes, on the second pass around the crafts broke formation",5/1/20,
2488,4/19/20 21:25,Detroit,MI,USA,Circle,15 minutes,appearing in the sky in front of our eyes and just drifting across the sky looked like stars ((Starlink satellites?)),6/25/20,
2489,4/19/20 21:20,Charlotte,MI,USA,Circle,20 minutes,string of 22+ lights flying no noise towards north east. ((Starlink satellites)),5/1/20,
2490,4/19/20 21:20,Mississauga (Canada),ON,Canada,Light,10 minutes,"12 bright oblects in very high altitude, darting around in formation. Not a satelite. ((Starlink satellites?))",6/25/20,
2491,4/19/20 21:18,Markham (Canada),ON,Canada,Circle,5 minutes,I was staring up in the sky randomly and there I saw a trail of stars in perfect sequence traveling NE ((Starlink satellites)),5/1/20,
2492,4/19/20 21:05,King County,WA,USA,Light,20,We witnessed what appeared to be lights traveling evenly spaced. ((Starlink satellites?)),6/25/20,
2493,4/19/20 21:00,Vankleek Hill (Canada),ON,Canada,Light,15 minutes,Sitting in the hottub to look up at 20+ star-like objects (first assumption satellite) flying EQUAL distance ((Starlink satellites?)),6/25/20,
2494,4/19/20 21:00,Seattle,WA,USA,Unknown,5 minutes possibly longer,"Single file about an inch apart looking with naked eye from ground, ((Starlink satellites?))",6/25/20,
2495,4/19/20 21:00,Chaska,MN,USA,Circle,10 seconds,"Large, white ringed, low flying, slow moving object at tree level.",6/25/20,
2496,4/19/20 21:00,Waterford,MI,USA,Circle,1 hour,UFOs over Michigan. ((Starlink satellites?)),6/25/20,
2497,4/19/20 21:00,Beamsville (Canada),ON,Canada,Circle,30,Multiple lights moving quick in different directions ((Starlink satellites??)),5/1/20,
2498,4/19/20 21:00,Stratford (Canada),ON,Canada,Formation,30 minutes,"Points of light, evenly spaced...about a mile apart. ((Starlink satellites?))",6/25/20,
2499,4/19/20 20:15,Leaf River,IL,USA,Light,5 minutes,"Saw 7-9 very dim lights moving SW-NE very fast in line , no flashing lights like a plane. ((Starlink satellites?))",6/25/20,
2500,4/19/20 20:00,Beloit,WI,USA,Light,5 minutes,"Watched a speeding ball of light traverse the sky from one horizon to the other, east to North Western direction. No blinking lights, d",6/25/20,
2501,4/19/20 20:00,Weymouth (UK/England),,United Kingdom,Oval,1 hour,Long line of star shaped objects in equal distance travelling across the sky from Se to Ne. ((Starlink satellites)),5/1/20,
2502,4/19/20 19:30,Page,AZ,USA,Light,1 hour,15-20 lights appearing 1-3 minutes apart and moving in same direction as the one before. ((Starlink satellites?)),6/25/20,
2503,4/19/20 18:40,Kochi (India),,India,Cigar,1 minute,Cigar like thing observed in western Sky over Kochi,6/25/20,
2504,4/19/20 18:35,Omaha,NE,USA,Cylinder,2 minutes,Witnessed cigar shaped object while plane spotting in my front yard.,5/1/20,
2505,4/19/20 18:00,Grand Falls (Canada),NB,Canada,Light,10 minutes,25 flying objects became brighter at some point like going out of atmosphere. Lasted 10min and no noise,6/25/20,
2506,4/19/20 17:32,Houston,TX,USA,,,MADAR Node 118,6/25/20,
2507,4/19/20 14:44,Crystal River,FL,USA,Cigar,20 seconds,"Large completely White craft. Size of a commercial jet. Moving from south to North slowly, like a blimp, however, it slowed to a stop a",6/25/20,
2508,4/19/20 14:40,Edmonds,WA,USA,,,MADAR Node 61,6/25/20,
2509,4/19/20 13:00,Sister Bay,WI,USA,Light,15 minutes,"Object 6 lights all in the same line, decending 2 the horizon, all light remained same brightnes((Starlink satellites?))",6/25/20,
2510,4/19/20 09:32,Littlerock,AR,USA,,,MADAR Node 56,6/25/20,
2511,4/19/20 06:47,Royal Palm Beach,FL,USA,,,MADAR Node 76,6/25/20,
2512,4/19/20 05:00,Hubert,NC,USA,Circle,20 seconds,Seven objects had lights. ((Starlink satellites?)),6/25/20,
2513,4/19/20 04:40,Las Vegas,NV,USA,Light,1-2 minutes,Two very high blinking white lights with no sound,6/25/20,
2514,4/19/20 04:30,Meeting Creek (Canada),AB,Canada,Light,5 minutes,12 lights travelling equidistant from one another. Possible large craft sighting. ((Starlink satellites?)),6/25/20,
2515,4/19/20 03:30,Eau Claire,WI,USA,Oval,every night to current,Prism-colored spinning lights.,6/25/20,
2516,4/19/20 02:51,Watsonville,CA,USA,,,MADAR Node 105,6/25/20,
2517,4/19/20 02:27,Stateline,NV,USA,,,MADAR Node 160,6/25/20,
2518,4/19/20 01:45,Newman Lake,WA,USA,Light,10 minutes,"Wide band of subdued light, white object and light on fence post.",6/25/20,
2519,4/19/20 01:35,Fayetteville,AR,USA,Rectangle,1 minute,"April 19, 20 - Recorded unknown craft, unknown figure and lights in front yard. I watched live. I still cant wrap my head around it.",8/20/20,
2520,4/19/20 01:07,Washington,UT,USA,Sphere,6 seconds,Mirror sphere being pulled smoothly across the sky,6/25/20,
2521,4/18/20 23:49,St. Paul,MN,USA,Sphere,20 minutes,White hovering sphere with red and yellow lights in its center,6/25/20,
2522,4/18/20 23:30,Orleans,CA,USA,Triangle,20 minutes,We both looked up to see a steady stream of individual 50+ lights equally distanced. ((Starlink satellites?)),6/25/20,
2523,4/18/20 23:13,Duluth,MN,USA,Triangle,~10 minutes,Three dots of light arranged in a triangular pattern were hovering silently for around ten minutes before moving away.((anonymous)),5/1/20,
2524,4/18/20 23:00,Orem,UT,USA,Other,10 seconds,"Wing shaped craft seen at night, no lights, no sound.",5/1/20,
2525,4/18/20 23:00,Wahoo,NE,USA,Formation,3-5 minutes,Lights in night sky over Wahoo flying in formation. ((Starlink satellites?)),6/25/20,
2526,4/18/20 22:30,Cassopolis,MI,USA,Light,2 hours,Bright object with two lights hovering above tree line,6/25/20,
2527,4/18/20 22:30,Douglas,WY,USA,Unknown,45 minutes,Outside in a small wyoming town with little to no light pollution. My family and I see in the moonlight a somewhat transparent object i,6/25/20,
2528,4/18/20 22:30,Bangor,MI,USA,Triangle,45 minutes,Large bright ball not registering on any app as a planet or bright star. Got closer and went back was triangle shape and brighter than,5/15/20,
2529,4/18/20 22:06,Salem,IL,USA,Light,10 minutes,Went outside and there was a light pretty high up over our tree line (from our view) this light has been here for a while and before wa,6/25/20,
2530,4/18/20 22:00,Eastport,MI,USA,Light,20,12 to 14 white lights seen traveling east to west over a 20 minute period. ((Starlink satellites)),5/1/20,
2531,4/18/20 22:00,Santa Rosa,CA,USA,Light,20 minutes,Aliens seen in metallic sphere lights in Santa Rosa California. ((Starlink satellites?)),6/25/20,
2532,4/18/20 22:00,Duluth,MN,USA,Sphere,3 minutes,Large golden sphere of light moving across the sky.,6/25/20,
2533,4/18/20 22:00,Bracebridge (Canada),ON,Canada,Sphere,15 minutes,I 8- 9 bright orbs moving across the night sky each orb/bright light. ((Starlink satellites)),5/1/20,
2534,4/18/20 22:00,Cedar Rapids,IA,USA,Other,30-45 minutes,31 satellite like objects flying straight line West to east ((Starlink satellites?)),6/25/20,
2535,4/18/20 22:00,Cincinnati,OH,USA,Light,30 minutes,"I saw a giant hovering bright sphere in the sky. Had green light on the sides of it, and once in awhile. ((Venus??))",6/25/20,
2536,4/18/20 21:50,Edmonton (Canada),AB,Canada,Light,4 minutes,"I saw 2 lights heading against one another, perhaps satellites. ((Starlink satellites))",5/1/20,
2537,4/18/20 21:46,Eudora,KS,USA,Oval,30 minutes,Small bright lights traveling straight before a few split off in different directions. ((Starlink satellites)),5/1/20,
2538,4/18/20 21:30,Bonners Ferry,ID,USA,Light,3 minutes,While out watching starlink with my Wife and 2 children we noticed a light that at first we thought was an additional satellite in a di,5/1/20,
2539,4/18/20 21:30,Wellsboro,PA,USA,Circle,20 minutes,Hhovering off the side of the mountain..was the brightest ball of light I have ever seen. ((NUFORC Note: Venus?? PD)),5/1/20,
2540,4/18/20 21:30,Regina (Canada),SK,Canada,Circle,45 minutes,25 to 30 golden balls in sky or shine to them all in a verticle line. ((Starlink satellites)),5/1/20,
2541,4/18/20 21:20,Mankato,MN,USA,Light,5 minutes,"Lights that look like a convoy of ISS's moving from southwest, to northeast evenly spaced at first ((Spacelink satellites))",5/1/20,
2542,4/18/20 21:19,Oskaloosa,IA,USA,Circle,~50 minutes,"21 ""star"" like objects moving west/north east one after another, 2 side by side objects moving N to S. ((Starlink satellites))",5/7/20,
2543,4/18/20 21:16,Richmond,CA,USA,Triangle,8-10 seconds,Triangular shaped object flying in night sky,6/25/20,
2544,4/18/20 21:15,Nampa,ID,USA,Light,30-40 minutes,"procession of white lights, going SW to NE, flying higher than commercial airliner. ((Starlink satellites))",5/1/20,
2545,4/18/20 21:15,Papillion,NE,USA,Formation,30 minutes,we observed the first object moving from WSW to NE. ((Starlink satellites?)),6/25/20,
2546,4/18/20 21:05,Janesville,MN,USA,Light,15 minutes,A trail of star like lights moving from the W. They were in a straight line and equally spaced apart. ((Starlink satellites)),5/15/20,
2547,4/18/20 21:00,Durham,CA,USA,Light,30 minutes,Myself and 1 other person saw lights flying in formation for approximately 30 minutes. Lost count at 50. ((Starlink satellites?)),6/25/20,
2548,4/18/20 21:00,Liberty,MO,USA,Light,5-7 minutes,Clear night. These very tiny solid lights were traveling from the SSW to the NNE. ((Starlink satellites?)),6/25/20,
2549,4/18/20 21:00,Calgary (Canada),AB,Canada,Formation,11 minutes,"18 consecutive lights, following a course, some swirling in a circular patterns. ((Starlink satellites?))",6/25/20,
2550,4/18/20 21:00,Blue Springs,MO,USA,Light,10+ minutes,"As I looked at it, I noticed what looked like a satellite. ((Starlink satellites?))",6/25/20,
2551,4/18/20 21:00,Goldendale,WA,USA,Light,15 minutes,we spotted a long line of lights moving from the west to the east across the evening sky. ((Starlink satellites?)),6/25/20,
2552,4/18/20 21:00,Blaine,MN,USA,Light,5 minutes,"about 30 lights moving to the NE in a straight line, about equally spaced. ((Starlink satellites?))",6/25/20,
2553,4/18/20 21:00,Hayfield,MN,USA,Light,15 minutes,Flashing lights heading Northeast in a military staggered pattern. ((Starlink satellites?)),6/25/20,
2554,4/18/20 21:00,Manly,IA,USA,Formation,20 minutes,22-25 objects in uniform straight line over northern Iowa. ((Starlink satellites?)),6/25/20,
2555,4/18/20 21:00,Lakeville,MN,USA,Circle,1 hour,About 45+ satellite looking lights going across the sky and a perfect line perfectly spaced ((Starlink satellites?)),6/25/20,
2556,4/18/20 21:00,New Brighton,MN,USA,Light,10 minutes,Long row of 20+ satellite looking lights. ((Starlink satellites?)),6/25/20,
2557,4/18/20 21:00,Milbank,SD,USA,Light,15-30 minutes,Notice single white lights ((Starlink satellites?)),6/25/20,
2558,4/18/20 21:00,Cedar Rapids,IA,USA,Light,,we noticed and counted over 65 crafts flying in straight line from West to East ((Starlink satellites?)),6/25/20,
2559,4/18/20 21:00,Fridley,MN,USA,Light,30 minutes,Approximately 100 starlight objects moving from the SW to NE with no blinking lights or sound. ((Starlink satellites?)),6/25/20,
2560,4/18/20 21:00,Wahoo,NE,USA,Light,2 hours,One witness saw light formations evenly spaced and moving rapidly across the entire sky before disappearing. ((Starlink satellites)),5/1/20,
2561,4/18/20 21:00,Omaha,NE,USA,Formation,40 minutes,Moving star like Line formation. ((Starlink satellites?)),6/25/20,
2562,4/18/20 21:00,Lakeville,MN,USA,Circle,1 hour,~45+ satellite looking lights cross the sky and a perfect line perfectly spaced for about 25-40 minutes. ((Spacelink satellites?)),6/25/20,
2563,4/18/20 21:00,Bend,OR,USA,Light,45 minutes,we just watch over 50 lights go through the sky in the same pattern one after another. ((Starlink satellites?)),6/25/20,
2564,4/18/20 21:00,Las Vegas,NV,USA,Flash,15 minutes,"4 to 5 lights getting brighter to dimmer, disappearing, coming back brighter, flashed in abnormal manners, stay on for diffrent lengths",6/25/20,
2565,4/18/20 20:48,Louisville,KY,USA,Circle,2 minutes,Black silent circular object with no lights over Louisville KY,6/25/20,
2566,4/18/20 20:45,Roseville,CA,USA,Circle,10 minutes,We witnessed 10-12 formation lights in the sky.They were perfectly apart from each other. ((Starlink satellites?)),6/25/20,
2567,4/18/20 20:40,College Place,WA,USA,Light,30 minutes,String of stars evenly spaced out for 30 min. ((Starlink satellites?)),6/25/20,
2568,4/18/20 20:35,Bishop,CA,USA,Circle,25 minutes,We witnessed several circular objects come over n right after each other with 1 minuet apart from each other ((Starlink satellites?)),6/25/20,
2569,4/18/20 20:35,Redding,CA,USA,Unknown,15,20-30 single lighted flying objects flying steadily in linear formation. ((Starlink satellites?)),6/25/20,
2570,4/18/20 20:35,Colville,WA,USA,Sphere,10 minutes,"High altitude string of spherical objects, traveling single file and spaced about 10 seconds apart. ((Starlink satellites?))",6/25/20,
2571,4/18/20 20:30,Antioch,CA,USA,Light,5-10 minutes,"STRANGE ROW OF TINY STAR-LIKE DOTS TRAVELING IN A LINE, EVENLY SPACED AND GOING THE SAME SPEED. ((Starlink satellites?))",6/25/20,
2572,4/18/20 20:30,Cameron Park,CA,USA,,15 minutes,((NUFORC Note: Witness provides no information. PD)),5/1/20,
2573,4/18/20 20:00,Santa Rosa,CA,USA,Light,2 hours,"A massive amount of extremely fast moving, single colored, bright lights. Absolutely no sounds. ((Starlink satellites?))",6/25/20,
2574,4/18/20 19:45,Topeka,KS,USA,Triangle,5 minutes,"Triangle shaped craft surrounded by small crafts in formation, moved one direction, then another, then disappeared.",5/15/20,
2575,4/18/20 18:40,Payson,AZ,USA,Cigar,1 minute,Cigar shaped object disappears over Payson AZ,6/25/20,
2576,4/18/20 18:30,San Jose,CA,USA,Light,30 minutes,I noticed what appeared to be a satalite drifting across the sky. ((Starlink satellites)),5/1/20,
2577,4/18/20 12:26,Stateline,NV,USA,,,MADAR Node 160,6/25/20,
2578,4/18/20 10:00,Niles,MI,USA,Light,15 minutes,there was about 30 lights about mle apart. ((Starlink satellites?)),6/25/20,
2579,4/18/20 09:45,Regina (Canada),SK,Canada,Light,20 minutes,We seen well over 30-40 lights some super bright some not way to high to be planes flew in strait line. ((Starlink satellites)),5/7/20,
2580,4/18/20 09:00,Champlin,MN,USA,Sphere,10 minutes,Lights following on same west East path. Same distance from each other going same path. 18 in a ton. ((Starlink satellites)),5/7/20,
2581,4/18/20 09:00,Ft. Worth,TX,USA,Chevron,15 minutes,I was bird watching. And I'm looking in the sky and something caught my attention. White I saw the color solid white.,5/1/20,
2582,4/18/20 03:00,Wilmington,NC,USA,Sphere,5 seconds,Very Fast Bright Sphere in the Sky.,5/7/20,
2583,4/18/20 02:16,Wilmington,NC,USA,Other,30 seconds,"Went out to my car in the middle of the night to have a cigarette (feels safer being in the car) once i was done, i felt nervous going",6/25/20,
2584,4/18/20 00:30,Lake Mary,FL,USA,Cigar,,Large tube shaped object hovering above HE Thomas Parkway and 46A.,5/1/20,
2585,4/18/20 00:05,Edmonton (Canada),AB,Canada,Triangle,5 seconds,"Triangular, no sound, no lights emitted, almost fully blended into the black night sky (no clouds to determine altitude )",5/1/20,
2586,4/17/20 00:00,Toronto (Canada),ON,Canada,Light,15 minute,Wasnt sure if 1 big UFO with multiple lights or just that many different ufos.,6/25/20,
2587,4/17/20 22:45,Seminole,OK,USA,Light,20 minutes,My husband and I were driving last night and I was watching this bright orange light slowly rise straight up above the tree line. The f,6/25/20,
2588,4/17/20 22:35,Seattle,WA,USA,Circle,30,A few nights ago I noticed when I went out on my deck a very bright light which resembled a star from the N side. ((Venus??)),6/25/20,
2589,4/17/20 22:30,Wendell,MN,USA,Light,20 minutes,"Witnessed lights traveling in straight line from SW to NE, quite evenly spaced. ((Starlink satellites?))",6/25/20,
2590,4/17/20 22:04,Cambridge,MN,USA,Circle,69 minutes,59 strange crafts with lights over Cambridge. ((Starlink satellites)),5/1/20,
2591,4/17/20 22:00,Roseau,MN,USA,Light,30 minutes,"~ 50 simple white lights travelling SW to NE, ability to adjust speed and fly in formation. ((Starlink satellites?))",6/25/20,
2592,4/17/20 22:00,North plains,OR,USA,Light,10 minutes,About 50 light objects moving from west to north east in formation and moving fast then slow. ((Starlink satellites?)),6/25/20,
2593,4/17/20 22:00,Kamloops (Canada),BC,Canada,,30,Mass sighting. ((Starlink satellites?)),6/25/20,
2594,4/17/20 22:00,Rhododendron,OR,USA,Light,1 hour,"string of lights many at first heading north east, at least 15 when I noticed them. no sound. ((Starlink satellites?))",6/25/20,
2595,4/17/20 22:00,Ft. Worth,TX,USA,Unknown,5 minutes,Single line formation. Dozen craft evenly spaced. SW to N sky. Extreme rate of speed. High altitude. ((Starlink satellites)),5/1/20,
2596,4/17/20 22:00,Cokato,MN,USA,Light,45 minutes,White lights all in a single line. SW to NE. toward the end they were side by side and staggered. ((Starlink satellites?)),6/25/20,
2597,4/17/20 22:00,Kentwood,MI,USA,Light,30 minutes,"Abt 30 objects with one white light evenly spaced, traveling slowly at high altitude in a line. ((Starlink satellites))",5/1/20,
2598,4/17/20 22:00,Grand rapids,MI,USA,Light,,I saw what looked like a star moving then I seen more. ((Starlink satellites?)),6/25/20,
2599,4/17/20 22:00,Roseburg,OR,USA,Sphere,30 minutes,At approximately 22:00 hrs. There were a line of satellite like objects passing overhead from the W to NW. ((Starlink satellites?)),6/25/20,
2600,4/17/20 22:00,Eagle Creek,OR,USA,Circle,35 minutes,Looked like satellites but lower and saw two collide and change direction. ((Starlink satellites?)),6/25/20,
2601,4/17/20 22:00,Park Rapids,MN,USA,Light,15 minutes,"Star like in straight line close together moving W to NE, ((Starlink satellites?))",6/25/20,
2602,4/17/20 21:50,Timber,OR,USA,Light,15 minutes,Tons of lights flying in from Oregon Coast. ((Starlink satellites?)),6/25/20,
2603,4/17/20 21:45,Keswick (Canada),ON,Canada,Diamond,15 minutes,"Friday, april 17th, 2020 at 9:45 pm in Keswick, Ontario. ((Starlink satellites?))",6/25/20,
2604,4/17/20 21:45,Yelm,WA,USA,Light,10 minutes,Long string of lights. ((Starlink satellites?)),6/25/20,
2605,4/17/20 21:45,Brownsville,OR,USA,Triangle,2 minutes,"Large Triangular Craft seen over Brownsville Oregon in night sky on April 17, 2020. ((Starlink satellites?))",6/25/20,
2606,4/17/20 21:30,Medford,OR,USA,Light,30 minutes,About 40 star-like lights traveling in a fixed trajectory. ((Starlink satellites?)),6/25/20,
2607,4/17/20 21:30,Riverton,WY,USA,Circle,15 minutes,"Thirty-eight bright white lights headind ENE, were spotted over Riverton, Wyo, and Casper, Wyo. ((Starlink satellites?))",6/25/20,
2608,4/17/20 21:30,Salem,OR,USA,Light,30 minutes,"50+ lights perfect spaced flying over our heads, about 20min in the lights were coming in a formation. ((Starlink satellites?))",6/25/20,
2609,4/17/20 21:30,Baldwin,MI,USA,Light,45 minutes,Lights moving northeast in the sky. ((Starlink satellites?)),6/25/20,
2610,4/17/20 21:30,Mead,WA,USA,Unknown,15 minutes,30 satellite like objects flew over house in under 15 minutes. ((Starlink satellites?)),6/25/20,
2611,4/17/20 21:30,Kennewick,WA,USA,Oval,10 minutes,Hey did you guys hear about strange white lights moving in formation? ((Starlink satellites?)),6/25/20,
2612,4/17/20 21:30,Denver,CO,USA,Sphere,5/10,Saw what I thought was a satellite ((Starlink satellites?)),6/25/20,
2613,4/17/20 21:30,Tumwater,WA,USA,Formation,15-20 minutes,A line of Oval/ Pill shaped UFOs Heading North East from South ((Starlink satellites?)),6/25/20,
2614,4/17/20 21:26,Zagreb (Croatia),,Croatia,Circle,10 minutes,"We saw 30 circle moving on sky, it was lasting 10 minutes, one by one was going. ((Starlink satellites?))",6/25/20,
2615,4/17/20 21:15,Rapid City,SD,USA,Circle,15 minutes,"50 spaced lights,going sw to be at speeds similar to known space lab,etc. Could see 8-10 at a time.",5/1/20,
2616,4/17/20 21:15,Random Lake,WI,USA,Other,25 minutes,Satellites passing in similar tragectories for 35 minutes. ((Starlink satellites?)),6/25/20,
2617,4/17/20 21:15,Manteno,IL,USA,Triangle,1 minute,There were three aircraft flying extremely fast going north without any lights and they made no sound.,5/1/20,
2618,4/17/20 21:15,Manteno,IL,USA,Triangle,1 minute,"Last night around 9:15 my wife and I were sitting in our backyard when my wife thought she saw a shooting star, I turned to look but wh",5/15/20,
2619,4/17/20 21:15,,CO,USA,Formation,30 minutes,I saw starlink a month ago and they were all in the straight line and these were very un uniformed three or four right next to each oth,5/1/20,
2620,4/17/20 21:07,Edgar,MT,USA,Light,1 minute,Small point of light that accelerated at incredible speed,6/25/20,
2621,4/17/20 21:00,San Diego,CA,USA,,>30 minutes,"I observed something Friday, April 17, that may be related to what you reported about on Coast to Coast the next night regarding five",6/25/20,
2622,4/17/20 21:00,Salt Lake City,UT,USA,Light,42 minutes,20-30 lights moving in a north northeast direction at extreme speeds. ((Starlink satellites?)),6/25/20,
2623,4/17/20 21:00,Las Vegas,NV,USA,Circle,20 minutes,39 orbs dropping out of cloud one after another over north west Las Vegas. ((Starlink satellites)),5/15/20,
2624,4/17/20 21:00,Shoshoni,WY,USA,Light,10-15 minutes,I observed a few small solid white lights that looked like stars but they were moving across the sky. ((Starlink satellites?)),6/25/20,
2625,4/17/20 21:00,North Bend,WA,USA,Unknown,1 hour,60 ufos in a convoy. ((Starlink satellites?)),6/25/20,
2626,4/17/20 21:00,Paonia,CO,USA,Light,30 minutes,Lights in the sky moving in all directions,6/25/20,
2627,4/17/20 21:00,Bailey,CO,USA,Light,15:00,Faint lights high fast moving spaced evenly in night sky no blinking light or sound.. ((Starlink satellites)),5/1/20,
2628,4/17/20 20:35,Chicago,IL,USA,Light,4 minutes,Series of 12 white lines in linear order traveling NE through Chicago. not perfect line but path. ((Starlink satellites?)),6/25/20,
2629,4/17/20 20:30,Az Zarqa (Jordan),,Jordan,Sphere,00:05:00,"Large hovering UFO Craft seen twice in Zarqa, Jordan",9/4/20,
2630,4/17/20 20:20,Grand Prairie,TX,USA,Fireball,15 seconds,Around 8:20pm Central standard time i witnessed a orange glowing ball in the distant sky falling at a rapid speed heading in the Southe,6/25/20,
2631,4/17/20 20:15,Mount Pleasant,SC,USA,Light,3 minutes,"3 solid red lights, not blinking, slow moving, ""V"" formation, disappeared up",6/25/20,
2632,4/17/20 20:05,Sheridan,WY,USA,Sphere,15 minutes,Staggered line of objects in the sky over Northern Wyoming. ((Starlink satellites?)),6/25/20,
2633,4/17/20 20:00,Cottonwood,AZ,USA,Circle,10 minutes,Multiple orbs crossing sky at the same speed never passing one another. ((Starlink satellites?)),6/25/20,
2634,4/17/20 20:00,Litchfield Park,AZ,USA,Light,1 hour,Fleet of moving stars. ((Starlink satellites?)),6/25/20,
2635,4/17/20 20:00,Peoria,AZ,USA,Light,15 minutes,String of at least 48 star-like lights traveling across the sky from the southeast to the northwest. ((Starlink satellites?)),6/25/20,
2636,4/17/20 20:00,Washougal,WA,USA,Light,30-45 minutes,"When we thought we saw the space station fly by, subsequently 25 plus lights flew by all train. ((Starlink satellites))",5/15/20,
2637,4/17/20 20:00,Gresham,OR,USA,Light,5 minutes,Two orbs above gresham move soth to north.,6/25/20,
