Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
10/8/22 21:00,wauchula and myakka city,FL,USA,Changing,two months,"Nightly Sightings of UAPs blatantly in your face, military chases observes crafts nightly.",10/8/22,Yes
10/8/22 19:00,,,USA,Disk,,"My son, wife and myself saw a portion of a saucer shaped disc with glowing off and on different colored lights.",10/8/22,
10/7/22 21:50,Brcko,Brcko District,Bosnia and Herzegovina,Diamond,For about half hour.,Half circle trail with rainbow color bright dot.,10/8/22,Yes
10/7/22 19:50,Bealeton,VA,USA,Fireball,One minute,I saw a fireball swirling around in the sky like no craft can do. It split into two parts and came back together into one,10/8/22,
10/7/22 16:05,Melbourne,FL,USA,Sphere,25 seconds,Saw a small dark round object in western sky,10/8/22,
10/7/22 07:34,Kristiansand,,Norway,Unknown,In the morning,Aliens try to make me disposal to them.,10/8/22,Yes
10/7/22 00:30,Vidisha,Madhya Pradesh,India,Fireball,60min,"Both craft were light circle moving each other,as taking round of one another..",10/8/22,
10/6/22 23:00,,TN,USA,Changing,2 hr,Fluid like movement,10/8/22,Yes
10/6/22 21:25,Jacksonville,NC,USA,Circle,10 - 20 seconds,Me and my daughter were driving to petsmart. We saw a flying object that was very large,10/8/22,
10/6/22 19:47,Vinton,VA,USA,Light,2:31,I looked up and saw one light flashing then that one went off and another one above it came on they were doing that simultaneously,10/8/22,
10/6/22 19:00,Brent,AL,USA,Light,5 min plus,Watched a bright white light pass overhead.,10/8/22,
10/6/22 16:12,Baltimore,MD,USA,Unknown,5-10 minutes,"20+ small black objects in sky above, moving in figure 8 motion cohesively",10/8/22,
10/6/22 15:59,Oro valley,,,Circle,Unknown,I pointed my cell phone to get a picture of the cloud.,10/8/22,Yes
10/6/22 10:10,Centreville,VA,USA,Teardrop,45 seconds,Two objects moving east to west that had a solid string of blue light coming down from them.,10/8/22,
10/6/22 09:52,Palm City,FL,USA,Cigar,1 min in West Sky,White straight long object in sky not moving for about a minute and then disappeared fr,10/8/22,
10/6/22 06:05,Port orange,FL,USA,Other,5 seconds,Boomerang shaped object,10/8/22,
10/5/22 23:10,Baltimore,MD,USA,Chevron,30sec,Chevron or triangle shape craft with bright orange light...awkward movements and disappeared,10/8/22,
10/5/22 20:05,Duluth,MN,USA,Cylinder,2 times at 3 mins each,It came from our atmosphere and below normal aircraft flight level in less then 10 seconds. Consistently changing directions and fligh,10/8/22,Yes
10/5/22 19:48,Lynwood,CA,USA,Fireball,15 minutes,6 total fireballs one of them moving super fast shedding green cylinder light like space ship.,10/8/22,Yes
10/5/22 12:55,Knoxville,TN,USA,Circle,10 seconds,Black grey sphere in sky,10/8/22,
10/5/22 10:02,,,USA,Cylinder,,Seen ufo Carring a missle,10/8/22,
10/4/22 23:07,Prescott,AZ,USA,Circle,A few minutes,Two red lights very high in the sky,10/8/22,
10/4/22 22:12,Brandon,MB,Canada,Light,10 minutes,Through the trees in the grass field beside the highway,10/8/22,Yes
10/4/22 22:00,Wilmington,NC,USA,Light,1 min,Bright orange light,10/8/22,
10/4/22 21:15,Tyrone,PA,USA,Disk,,Saw an unusual flying object above my house,10/8/22,Yes
10/4/22 20:30,Northplatte,NE,USA,Other,30 seconds,"Caught my eye just above me, picture wouldn't pick it up so I took a video still blurry but it was very loud and seemed fast",10/8/22,
10/4/22 20:30,Valdosta,GA,USA,Light,1 minute,"Strange, large star light the same size as Jupiter that moved gracefully and slowly disappeared into very small red light",10/8/22,
10/4/22 19:30,Rochester,IN,USA,Circle,Maybe 90 seconds,We both noticed the light and then it shrunk in size until it disappeared.,10/8/22,
10/4/22 17:08,,,Hong Kong S.A.R.,Unknown,literally one frame iphon,"its not visible in human eyes, have multiple photos/videos at that exact second, but only one captured the plane/UFO",10/8/22,Yes
10/4/22 16:09,Little Compton,RI,USA,Light,3 seconds,Glowing Orb,10/8/22,
10/4/22 13:35,Schoolcraft,MI,USA,Oval,About ten seconds,"Saw a small tic tack shaped object fly over very fast in a straight line, not sure of altitude",10/8/22,
10/4/22 07:45,Fort Wayne,IN,USA,Disk,5 minutes,Got video,10/8/22,
10/3/22 23:33,Azusa,CA,USA,Diamond,,Basket Ball sized Orb of light & floating ship,10/8/22,
10/3/22 20:00,Colorado springs,CO,USA,Triangle,,My husband and I were in the hotub and this mysterious object flew over us with 3 brights lights in a triangle form.,10/8/22,
10/3/22 17:02,Newnan,GA,USA,Circle,3hrs,Shiny object spotted in sky by coworker,10/8/22,Yes
10/3/22 12:30,Vinita,OK,USA,Circle,30 seconds,Several round white objects flying together.,10/8/22,
10/3/22 11:30,,,USA,Changing,2 minutes,"Hovering at high altitude coming slow from west to east,",10/8/22,
10/3/22 09:10,Fayetteville,GA,USA,Circle,7 seconds,The craft appeared to be silver and round/pear shaped. It was there then seemed to vanish.,10/8/22,
10/3/22 03:30,Benton,AR,USA,Changing,1 hour,Round object in sky changing colors from red green white blue.,10/8/22,Yes
10/3/22 01:30,Houston,TX,USA,Formation,45 seconds,Lights in sky,10/8/22,
10/2/22 14:33,Hemet,CA,USA,Circle,3 seconds,Craft flew at extreme rate of speed SW only able to be seen on video when zoomed in and better when slowed down.,10/8/22,Yes
10/2/22 13:28,Roseville,CA,USA,Circle,Aprox 30 min.,"Two glinting objects on a cloudless CA sunny day - one disappeared, the other stayed visible for approximately 30 minutes",10/8/22,Yes
10/2/22 13:13,Windham,ME,USA,Circle,45 seconds,Orbs moving through smoke trail from another aircraft,10/8/22,Yes
10/2/22 12:11,San Bernardino,CA,USA,Disk,5 secs.,It's a sphere crossing the sky while abc films Huntington Beach Air show,10/8/22,
10/2/22 06:05,Smyrna,TN,USA,Light,3 seconds,Bright light in sky vanished,10/8/22,
10/2/22 00:50,Westminster,CO,USA,Triangle,5 seconds,"Triangle shaped craft over Westminster, CO",10/8/22,
10/2/22 00:15,Little current,ON,Canada,Circle,3 minutes,"Not sure on shape... at least 3 pulsating lights, no sound",10/8/22,
10/1/22 23:00,Delta,UT,USA,Formation,Maybe 3 seconds,5 objects in a tight vee formation flying very fast East to West,10/8/22,
10/1/22 22:20,Granger,IN,USA,Fireball,2-3 min,Possible UFO aircraft appeared suddenly and kept moving up the sky.,10/8/22,
10/1/22 22:15,Bedford,NH,USA,Circle,45 mins,Two circular lights moving in circles,10/8/22,
10/1/22 21:10,Bellevue,WA,USA,Formation,5 min,While driving toward Seattle on I-90 Westbound a linear formation of 9 or so stationary lights,10/8/22,
10/1/22 21:00,Lynnwood,WA,USA,Star,10 (ten) to 15 seconds,Two points self-illuminated to astonishing intensity high in the northern sky for ~ 10-15 seconds,10/8/22,
10/1/22 20:46,port washington,WI,USA,Sphere,5 minutes,bright sphere of light,10/8/22,
