Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
6/30/21 22:50,Salina,KS,USA,Cylinder,5 minutes,Long orange light in the sky traveling north,8/16/21,
6/30/21 21:24,Felpham/Bognor Regis (UK/England),,United Kingdom,Light,20 minutes,My husband and I were on the beach at Felpham West Sussex and noticed a light appearing and disappearing in different spots.It was cons,8/16/21,
6/30/21 13:00,,NV,USA,Cigar,2-3 minutes,"Metallic looking blimp. Moving across mountain top, object was close enough to easily see, it was making no noise.",9/9/22,
6/30/21 05:43,Jonesboro,AR,USA,,,MADAR Node 143,8/16/21,
6/29/21 23:35,Dayton,OH,USA,Light,3min,"Bright light shifts, dims, suddenly accelerates and disappears.",8/16/21,
6/29/21 22:30,Charlotte,NC,USA,Circle,3 minutes maybe,"White Light Cruising Over Charlotte, Stopped, Then Continued While Pulsing, No Sound",8/16/21,
6/29/21 20:30,Worthington,OH,USA,Teardrop,4 minutes,Three small craft moving silently over railroad tracks,8/16/21,
6/28/21 23:11,Edison,NJ,USA,Other,3 mins,H SHAPE CRAFT SEEN BY EDISON NJ,8/16/21,
6/28/21 22:50,Lakebay,WA,USA,Rectangle,15 to 20 seconds,Helicopter follows black rectangular craft near Tacoma WA,8/16/21,
6/28/21 22:30,Boardman,OH,USA,Circle,Approximately 5 min,June 18.2021 orange lights in triangle,4/22/22,Yes
6/28/21 15:48,Brandon,FL,USA,Triangle,20 seconds,"At 3:47 pm at the end of June, I had the urge to leave my work desk (insurance agent) and eat crackers while looking out the window. I",8/16/21,
6/28/21 02:24,Millersburg,OH,USA,Cylinder,1 min,Flickering craft moving in different directions and slow. Seemed to change shape when flashing,6/22/22,Yes
6/28/21 00:45,Stockbridge,MI,USA,Rectangle,5 minutes,I was driving around 12:45 AM in the morning coming back from work when I first saw the object. Sometimes farmers go into the baseball,8/16/21,
6/27/21 22:45,Yakima,WA,USA,Light,15 minutes,Bright light in sky,8/16/21,
6/27/21 22:00,Wilton,CT,USA,Light,20 min,3 lights moving north,8/16/21,
6/27/21 21:50,Aubrey,TX,USA,Circle,3 minutes,"Bright, possibly spinning object videoed traveling east to west at a steady rate in late evening.",8/16/21,
