Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/31/21 23:50,Garden City,ID,USA,Sphere,>20 minutes,3 Bright Hovering Spheres in night sky,3/2/21,
1/31/21 17:51,Pocatello,ID,USA,Light,3 minutes,"White lights popping into view, moving a short distance in the sky and popping out of sight.",3/2/21,
1/31/21 17:45,Bhadohi,,India,Oval,5 minutes,((NUFORC Note: No significant information provided by witness. PD)),3/2/21,
1/31/21 11:00,Aurora,CO,USA,Formation,5 minutes,3 objects in a triangle formation,3/2/21,
1/31/21 10:43,Denver,CO,USA,Formation,15 minutes,1433 N Williams St,3/2/21,
1/30/21 23:30,Richmond,VA,USA,Unknown,10,weird sounding and yellowish glow,3/2/21,
1/30/21 22:30,Port Saint Lucie,FL,USA,Formation,20 seconds,I can't really explain. There was about 10 objects or so. They came together than stot up into the sky. I was able to get my phone out,3/2/21,
1/30/21 21:00,Boca raton,FL,USA,Light,1 minute,I started videoing object after I witnessed it as a red light hovering,3/2/21,
1/30/21 19:38,Muscat (Oman),,Oman,Rectangle,Seconds,Possible UFO sighting in Oman (Arabian Gulf),3/2/21,
1/30/21 19:10,Riverview,FL,USA,Fireball,5 minutes,Red balls in formation flying in the sky,3/2/21,
1/30/21 19:00,Exton,PA,USA,Other,5-10 seconds,Massive wide U shaped translucent object with 20 - 30 dim lights heading SW,3/2/21,
1/30/21 19:00,Milton,FL,USA,Triangle,8 Seconds,"It was dark(about 7pm) an I had just passed NAS Whiting Field on hwy 87 heading south towards Milton, alongside a few other vehicles.",3/2/21,
1/30/21 18:00,Antioch,CA,USA,Triangle,10 minutes,Three lights in triangle form.,3/2/21,
1/30/21 14:25,Long Beach,CA,USA,Light,4 minutes,Bright light similar to a star on broad day light remained static for about 6 minutes over the city of long beach on 1/30/21 at 14:25,3/2/21,
1/30/21 11:58,Salida,CA,USA,Formation,20 minutes,30 approx. silver balls creating formations in the sky before vanishing,3/2/21,
1/30/21 11:30,Henrico,VA,USA,Cigar,30 minutes,Eyewitness lights in the sky that hovered far above a house through my woods I have seen similar events on different days. This one did,3/2/21,
1/30/21 04:36,Biloxi,MS,USA,Other,20 seconds,Odd objects flying at the same pace in no particular formation,3/2/21,
1/29/21 23:30,Linn,MO,USA,Light,2 hours,Bright orb dancing in the east sky,3/2/21,
1/29/21 21:15,St. Petersburg Allendale Neighborhood,FL,USA,Light,90 Seconds,"Blinking white, green, red light over Allendale Neighborhood St. Petesburg, FL",3/2/21,
1/29/21 20:10,Kentwood,MI,USA,Formation,10 minutes,A line of lights just appeared in the sky over the building on the street behind me. There was no sound. ((Starlink satellites??))t,3/2/21,
1/29/21 20:08,Rockwell,NC,USA,Other,15min,Big orange / red light in northwest sky in Rockwell NC USA,3/2/21,
1/29/21 19:30,Demossville,KY,USA,Chevron,6 minutes,My son and I were driving down route 17 where Kenton county meets Pendleton county. We seen a bright red flashing object on the right s,3/2/21,
1/29/21 18:45,Warren,MI,USA,Light,continuing,Light is continually flashing in the south west sky. No movement. Seen with the naked eye.,3/2/21,
1/29/21 18:18,DARIEN,CT,USA,Light,3 minutes,Golden Orb flying above and along I95 North,3/2/21,
1/29/21 18:00,Williamstown,WV,USA,Oval,1 minute,Two orange orb lights with no sound,3/2/21,
1/29/21 16:00,Summerfield,NC,USA,Sphere,15-30 minutes,Spherical object enters atmosphere and flies away.,3/31/21,
1/29/21 05:22,Eads,TN,USA,,,MADAR Node 32,3/2/21,
1/28/21 22:30,Fayetteville,NC,USA,Disk,3 MINUTES,One saucer shaped U.F.O. with red light in center flashing red above tree tops moving from N/W TO S/E,3/2/21,
1/28/21 19:30,Demossville,KY,USA,Chevron,6 minutes,My son and I were driving down route 17 where Kenton county meets Pendleton county. We seen a bright red flashing object on the right s,3/2/21,
1/28/21 18:58,Tucson,AZ,USA,Formation,30-60 Seconds,"Horizonal plane of 3-5 orbs flying in a group, or singular craft. Orange/whitish glow in color.",3/2/21,
1/28/21 18:33,Sanford,NC,USA,Changing,7 hours,"Tetrahedron orb flashing colors, hovers, changes shapes and directions over my field nightly many pictures and videos",3/2/21,
1/28/21 18:00,Colorado City,CO,USA,Circle,5 seconds,Stationary orange light in sky fades in and out,3/2/21,
1/28/21 17:10,Suffolk,VA,USA,Formation,30-45 seconds,"2 Rows of 4-5 vertical white solid lights moving slowly together in the evening sky, just over the tree lines. ((Starlink satellites??",4/23/21,
1/28/21 13:00,Fort Eustis,VA,USA,Disk,still in place,US military built flying saucer's,3/2/21,
