Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/30/21 22:50,Ocala,FL,USA,,45 seconds,Object traveling across the sky with two distinct long flames trailing the craft,10/19/21,
9/30/21 22:49,Atlanta,GA,USA,Fireball,2 minutes,Maybe a meteor?,10/19/21,
9/30/21 21:45,Lakeland,GA,USA,Other,60 seconds,Straight light 60 foot long witness two police,10/19/21,
9/30/21 21:25,Grand Haven,MI,USA,Light,01:00,"Single, Bright Object moving like a Heartbeat Waveform for 30-45 Seconds.. Looked away for a few seconds, then it was gone.",10/19/21,
9/30/21 20:59,Lewis Center,OH,USA,Triangle,5 minutes,Traveling east on Lewis Center Rd I spotted what I initially thought was lights from a cell phone tower. This was odd because I did not,10/19/21,
9/30/21 20:40,Fenton,MI,USA,Oval,90 seconds,Bright white oval object seen over Fenton,10/19/21,
9/30/21 20:30,Los Angeles,CA,USA,Circle,10 seconds,Two bright star like objects wink out over Los Angeles.,10/19/21,
9/30/21 19:02,Franklin,KY,USA,,,MADAR Node 54,10/19/21,
9/30/21 16:18,Whittier,CA,USA,Changing,3 minutes,Today September 30th at 4:18 pm I witnessed a ufo leaving Griffin park from Whittier rosehill cemetery Heading East at a very high spee,10/19/21,
9/30/21 14:00,Tampa,FL,USA,Circle,2 minutes,White Balloon Objects moving across sky,10/19/21,
9/30/21 00:08,Albany,NY,USA,Sphere,30-60 seconds,"As I was driving down Washington Avenue in Albany, Ny I noticed a red sphere floating across the sky just below or even with the clouds",10/19/21,
9/29/21 21:15,Miamisburg,OH,USA,Triangle,~10 minutes,"A small, triangular object that was orange; it reminded me of a flame; was moving at a slow steady pace and appeared low and close.",10/19/21,
9/29/21 17:58,Egg Harbor,NJ,USA,Changing,One minute,"low altitude, quiet/silent object with visible distortion around and in front of it",4/22/22,Yes
9/29/21 12:49,Newburgh,IN,USA,,,MADAR Node 142,10/19/21,
9/29/21 05:50,Nanuet,NY,USA,,,MADAR Node 180,10/19/21,
9/29/21 01:00,Wittenberg,WI,USA,Oval,7 hours,Sighting of unexplained,10/19/21,
9/28/21 21:00,Cape Coral,FL,USA,Circle,3 minutes,"white round objects, later a flash of bright red light",10/19/21,
9/28/21 20:10,Beacon,NY,USA,Other,Time seemed to stand stil,While driving home from work I saw six very bright lights to my right and then a boomerang shaped craft was directly over my car.,6/22/22,
9/28/21 12:38,Garrettsville,OH,USA,,,MADAR Node 64,10/19/21,
9/28/21 04:52,Star Valley,AZ,USA,,,MADAR Node 53,10/19/21,
9/28/21 02:42,Corpus Christi,TX,USA,Oval,30-50seconds,On Sept 28th 2021 at 2:42am while taking out the trash I witnessed something incredible. At first I thought it was a group of white,10/19/21,
9/28/21 00:00,Baldwin,NY,USA,Sphere,>30 minutes,Object was hovering not sure how hi very bright orbital. Im sending pictures,10/19/21,
9/27/21 00:00,Essen (Germany),,Germany,Light,5-10 min,"I saw a yellowish / white light. It was night, so i couldnt see a shape of the object, but i would assume that it was round. I was sitt",10/19/21,
9/27/21 23:20,Devon,PA,USA,Sphere,1 - 2 Min,Chemo out of the sky like a meteor then level off and then became two objects and then became one and then became too and disappeared,10/19/21,
9/27/21 23:09,Miami,FL,USA,Triangle,5 seconds,A triangular-shaped aircraft moved very smoothly from North to South. It had very dim lights on the front 2 sides of the triangle >.,10/19/21,
9/27/21 22:00,Blowing Rock,NC,USA,Light,,I saw three lights in the sky that approached my car on the Parkway before I was turned around.,12/19/21,Yes
9/27/21 20:05,Myrtle Beach,NC,USA,Formation,30 Seconds,Three lights the size of stars circle each other in the sky.,10/19/21,
9/27/21 19:30,Princeton,WV,USA,Other,10 minutes,orange streaks in Princeton WV,10/19/21,
9/27/21 19:23,Tooele,UT,USA,Light,5 minutes,Watched jet chase light that disappeared 2-3 times,10/19/21,
9/27/21 14:30,Manhattan Beach,CA,USA,Disk,20 seconds,I was actually surfing just south of the Manhattan Beach pier & sitting on my board. There was an object that caught my eye. I thought,10/19/21,
9/27/21 05:30,Bartlett,NH,USA,Light,10 minutes,"Quite bright RED lights above an Irving Gas station on 302, Bartlett",10/19/21,
9/26/21 23:00,Auburn,MA,USA,Sphere,One hour,"White orb changing to blue, red, and orange. What started with one bright white orb would shift into different formations of multiple l",10/19/21,
9/26/21 19:45,Spokane,WA,USA,Fireball,2 mins,"Orange, looked like one large star, moved steadily across sky, Eastward direction, slowly disappeared into nothing.",10/19/21,
9/26/21 19:40,Fraser,MI,USA,Light,10 minutes,2 chrome objects hover over Fraser Michigan,10/19/21,
9/26/21 17:47,Los Altos,CA,USA,,,MADAR Node 52,10/19/21,
9/26/21 17:27,Louisville,KY,USA,Cigar,2 minutes or less,"Cigar shaped object flies across sky in very odd way, before stopping and orienting it's leading end up and accelerating out of sight.",10/19/21,
9/26/21 16:54,Rochester,NY,USA,,,MADAR Node 162,10/19/21,
9/26/21 16:47,Millerton,PA,USA,,,MADAR Node 104,10/19/21,
9/26/21 15:00,"Wattstown Rhondda Valleys, S.Wales",Rhondda Cynon Taf (UK/England,United Kingdom,Disk,seconds,I had seen it in the corner of my eye at about 1.30 as I was leaving town. I got back about 3pm and went straight to where I saw it.,3/4/22,
9/26/21 11:00,Seymour,CT,USA,Light,3 seconds,Blue light with absolute definition seen over Seymour,3/4/22,
