Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/30/20 23:38,Houston,TX,USA,,,MADAR Node 118,12/23/20,
9/30/20 23:08,Indianapolis,IN,USA,Light,10 seconds,"Leaving boyfriend's work place, turn left onto Producers Lane, see ball of light streak across the sky heading north, then make a hard",11/5/20,
9/30/20 23:00,Monroeville,PA,USA,Unknown,20 seconds,"I have seen two things. I don't know if I am crazy or what. The first. This took place as we were talking about UFOs. We see a light, a",11/5/20,
9/30/20 23:00,Aurora,CO,USA,Light,Continuing,"Approximately 23:00,I went outside and looked at the moon. Noticed a cluster of lights west of the moon,thought they were stars.They st",11/5/20,
9/30/20 22:45,Huntsville,AR,USA,Diamond,2-3 minutes,Diamond shaped UFO 4 white lights on each corner back one slowly fading in/out white to yellow. Electric humming & unusual dog howls,12/23/20,
9/30/20 21:45,Rutland,VT,USA,Disk,3-4 seconds,Glowing oreo cookie shaped disc like object witnessed moving quickly and silently across the night sky.,11/5/20,
9/30/20 20:15,Roswell,NM,USA,Fireball,45 minutes,"Orange balls of light on US 285, just north of Roswell, New Mexico.",11/5/20,
9/30/20 20:00,Amado (Elephant Head),AZ,USA,Changing,20 minutes,Orange and blue smoke like objests over Elephant Head Az.,11/5/20,
9/30/20 19:25,Salinas Victoria (Mexico),,Mexico,Other,3 minutes,"An object in the shape of a crescent moon was observed at high altitude and speed, white as moonlight, with the circular part towards t",11/5/20,
9/30/20 18:30,Staten Island,NY,USA,Disk,2 minutes,"Grey disk floating in the sky. Completely still, not moving at all.",11/5/20,
9/30/20 17:15,Gaston,SC,USA,Triangle,30 minutes +,"triangular object with red, green and white rapidly flashing lights, apparently stationary, low in the westerly sky at 17:00",11/5/20,
9/30/20 17:08,Edmond,OK,USA,Egg,30 seconds,Silver UFO seen in Edmond suddenly vanished,11/5/20,
9/30/20 17:00,Abington,PA,USA,Cigar,10 minutes,"Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky. Blue sky. Crystal clear. The one small cloud, NE sky, had what looked like a",11/5/20,
9/30/20 06:30,Mechanicsburg,PA,USA,Flash,15 seconds,"It was a super bright, long lasting flash.",11/5/20,
9/30/20 06:30,Nebraska City,IA,USA,Circle,3 minutes,3 circle shaped craft flying in triangle formation start spinning and switching places changing directions very quickly,11/5/20,
9/30/20 05:08,Jonesboro,AR,USA,,,MADAR Node 143,12/23/20,
9/30/20 03:45,Colombus,OH,USA,Rectangle,40 seconds,rectangular object green trail from entry in atmostphere.,11/5/20,
9/30/20 03:30,North Phoenix,AZ,USA,Flash,14 minutes,I was finishing up working on my wife car when I notice Two white lights in the sky right next to each other. I ran inside to get my wi,11/5/20,
9/29/20 23:38,Houston,TX,USA,,,MADAR Node 118,12/23/20,
9/29/20 22:55,Murray,UT,USA,Oval,5 seconds,White oval object zooms toward the mountains,11/5/20,
9/29/20 22:45,Nuevo,CA,USA,Sphere,3 hours,Orange light seen moving side to side by four witnesses.,11/5/20,
9/29/20 22:00,Oakville,WA,USA,Unknown,30 minutes,It seemed to be scanning the landscape,11/5/20,
9/29/20 20:25,Temecula,CA,USA,Light,15 minutes,On 8:25 pm a bright white light that had what appeared to be illuminated fog surrounding it flew over my house from South to North.,11/5/20,
9/29/20 20:00,Spokane,WA,USA,Circle,20:45,"Round object in the sky with very bright red, blue and white lights flashing lights",11/5/20,
9/29/20 18:30,Palmdale,CA,USA,Triangle,30 seconds,Three triangular shapes with green lights,12/23/20,
9/29/20 09:00,Las Vegas/Ryolite (between),NV,USA,Chevron,3 minutes,We were headed from Las Vegas to Ryolite. We were run off the road by lice/ military vehicles at a high rate of speed carrying an aircr,11/5/20,
9/29/20 06:48,West Chazy,NY,USA,,,MADAR Node 85,12/23/20,
9/29/20 04:12,Kearney,NE,USA,Light,5 seconds,"I was out on the back patio around 4:10 in the morning, looking up at eastern sky, and saw a light move in a arc like it was doing a t",11/5/20,
9/29/20 01:30,Silver Lake,IN,USA,Disk,5 minutes,"Very bright saucer over lake making high pitched sound, causing dog to go nuts.",11/5/20,
9/28/20 00:00,Marysville,WA,USA,Rectangle,2 hours,"This was in the NE sector and was about at a 10 O'clock position,noo blinking lights and appeared to be stationery. It appeared to ha",11/5/20,
9/28/20 22:00,Ithaca,NY,USA,Triangle,ongoing,"Right at that time part of our lights went out in the house.... Not all, Just in the living room; the tv went dark.",11/5/20,
9/28/20 21:00,East Providence,RI,USA,Circle,2 minutes,Outside on the back porch at night when I saw something in the sky. Object was circular with red panels on the bottom that looked like,12/23/20,
9/28/20 21:00,Richmond,VA,USA,Changing,5-10 seconds,This tight shape fanned out into 6 to 7 individual dimly lit red lights in a downward V-shaped formation traveling horizontally.,11/5/20,
9/28/20 21:00,Columbus,OH,USA,Circle,30 minutes,"I was standing outside at 7:20am and noticed a bright gleaming object high up into the sky, it was extremely bright and it was moving a",11/5/20,
9/28/20 20:30,Clarion,PA,USA,Changing,2 hours,They come back to the same spot frequently.,11/5/20,
9/28/20 18:12,Ajax,ON,Canada,,,MADAR Node 41,12/23/20,
9/28/20 15:00,Athens,AL,USA,Other,5 seconds,A command module looking craft.,12/23/20,
9/28/20 14:50,Winslow,AR,USA,Light,5 minutes,We saw a pulsating and hovering bright light in the sky near I-49 at exit 40 to the east and again at exit 45 to the west that had trai,11/5/20,
9/28/20 05:30,Ignacio,CO,USA,Sphere,,Sunset on ute reservation 4 mile from Ignacio colo. I was driving down the road heading home seen the sunset ion the east of town tha,12/23/20,
9/28/20 03:30,Boise,ID,USA,Disk,30 minutes,photos of bright glittery white lights at 3:30am.,11/5/20,
9/27/20 22:36,Independence,MO,USA,Changing,15 minutes,Reddish orange fire flame dancing in night sky,11/5/20,
9/27/20 21:05,Kingsville,OH,USA,Fireball,"25""",There was a motherboard.,11/5/20,
9/27/20 20:31,Independence,MO,USA,,,MADAR Node 45,12/23/20,
9/27/20 19:50,FORT WORTH,TX,USA,Other,2 min,CUBE SHAPE OBECT SIGHTED IN FORT WORTH TX SEP 20,12/23/20,
9/27/20 18:00,Middleboro,MA,USA,Circle,2 minutes,dark circle hovers and takes off,11/5/20,
9/27/20 17:55,Ellicottville,NY,USA,Disk,1 minute,They're back and there's more,11/5/20,
9/27/20 13:27,Brush Prairie,WA,USA,Light,1 minute,UFO sighting while homeschooling my son. Multiple white objects in sky. Can see that there are different speeds and directions.,11/5/20,
9/27/20 07:14,Flippin,AR,USA,Light,1 minute,Green light appears and disappears followed by the sound of a jet,11/5/20,
9/27/20 05:50,Spokane,WA,USA,,,MADAR Node 37,12/23/20,
9/27/20 05:24,Houston,TX,USA,Formation,All night,Star formation taking place with jumps through triangle. Same old stuff they jump through time to keep the governments in control. Noth,11/5/20,
9/27/20 05:20,The Villages,FL,USA,Light,2 seconds,Two white lights spheres in tandem seen through thin clouds moving fast very fast 2-3 seconds,11/5/20,
9/27/20 05:18,Spokane Valley,WA,USA,Sphere,15 minutes,Lights racing around,11/5/20,
9/27/20 05:00,Allen Park,MI,USA,Circle,5 - 20 minutes,Circular objects moving fast,7/31/21,
9/27/20 02:50,Tucson (North of; Pima Co.),AZ,USA,Sphere,15 minutes,Pulsing white light Spherical object,11/5/20,
9/27/20 02:00,Pointblank,TX,USA,Light,1 minute,It was 2:00 in the morning on the east side lake livingston right under 190 hwy. My mom and my sister and I were inside the house havin,11/5/20,
