Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
5/31/21 22:00,Clinton,NJ,USA,Light,2 min,"Unblinking, low-flying, white light",7/31/21,
5/31/21 21:39,Port allegany,PA,USA,Chevron,2 minutes,Three small flashing objects surrounding a larger object. Erratic movements by smaller objects. Large object was very brightly lit. Obj,7/31/21,
5/31/21 21:15,Wake Forest,NC,USA,Light,20-30 seconds,I witnessed a very bright light in the sky last night moving east than slowing down and dimming out.,7/31/21,
5/31/21 21:15,Crestline,CA,USA,Circle,00:02,"Approximately 50 UFOs were seen traveling at a tremendous speed southward in the night sky over Crestline, California around 9 p.m. on",7/31/21,
5/31/21 20:49,Plymouth,MA,USA,Light,3-5 minutes,"Lights, white on top, flickering colors on bottom.",7/31/21,
5/31/21 18:22,Bennington,NE,USA,Light,30 min,"We saw about 7 light dots in the sky straight above us. Looked at the starling tracker and it wasn't that. They weren't in a line, bu",7/31/21,
5/31/21 18:00,Katy,TX,USA,Light,1 or 2 seconds,Brief two second sighting of bright red light traversing the sky at low altitude in a crescent shape trajectory.,7/31/21,
5/31/21 18:00,La Vista NE,NE,USA,Other,3 to 4 minutes,Silver orb in the sky while we looked towards the East.,6/22/22,
5/31/21 18:00,Lovingston,VA,USA,Unknown,20 seconds,We were standing in the backyard around 6:00 PM and the blue sky was cloudless. I looked up and clearly saw a silver object flying quit,7/31/21,
5/31/21 17:00,El Paso,TX,USA,Changing,10 min,Two high altitude objects interacting with each other. Hovering. And rotating while in a hover.,7/31/21,
5/31/21 15:04,Johnson City,TN,USA,Sphere,10 minutes,White or metallic orb in sky,7/31/21,
5/31/21 14:06,Los Angeles,CA,USA,Light,,I record a sighting of a light flashing in going from one direction to another direction in the sky,6/22/22,
5/31/21 08:09,Green Valley-Henderson,NV,USA,Rectangle,5 minutes,Three rotating black rectangles with extremely bright green lights at the long ends moving N-to-S in daylight,7/31/21,
5/31/21 07:20,Jonesboro,AR,USA,,,MADAR Node 143,8/16/21,
5/31/21 05:20,Clearwater,FL,USA,Cigar,5 seconds,"Extremely fast, bright cigar shaped object moving horizontally from south to north. Had a short light trail behind it.",7/31/21,
5/31/21 01:25,Mt. Vernon,IN,USA,,,MADAR Node 119,8/16/21,
5/31/21 00:06,Fallbrook,CA,USA,Circle,30min,Softball size lighted object with black strap hovering over garden 4ft from my bedroom window.,7/31/21,
5/30/21 22:20,Irvine,CA,USA,Circle,Five minutes,Six round white objects flying from west to east. Then a single object following in same direction. Moments later another similar obje,7/31/21,
5/30/21 21:14,Bakersfield,CA,USA,Light,10 mins,Wormhole in sky with fast moving star objects,7/31/21,
5/30/21 21:12,Jacksonville,FL,USA,Oval,9 minutes,still craft hangs in sky flashing a sequence of three lights then falls out of the sky and vanishes.,7/31/21,
5/30/21 20:49,Hemet,CA,USA,Light,1-2 Mins,Two yellow/orange lights above East Hemet,7/31/21,
5/30/21 19:00,Palm Springs,CA,USA,Circle,30 sec,Notice a light flashing in the mountain. Blue then red. It's wilderness area no roads or homes. Started watching it and began to move f,7/31/21,
5/30/21 17:06,North Hollywood,CA,USA,Egg,3 minutes,This UAP object was travelling very slow from East to West. This happened directly over the MTA North Hollywood Station located at Lank,7/31/21,
5/30/21 16:55,Little Rock,AR,USA,Circle,10 minutes,Craft seen in the sky and video taped.,7/31/21,
5/30/21 12:30,Des Plaines,IL,USA,Light,30 seconds,"I noticed an orange light in the sky, so I stepped outside to get a better look and to see if I would hear helicopter or an airplane en",7/31/21,
5/30/21 07:04,Jonesboro,AR,USA,,,MADAR Node 143,7/31/21,
5/30/21 01:30,Columbus,OH,USA,Light,Roughly 5-10 min,We never passed the lights and if it were city lights we would have passed them at some point .. but they sped up. Watch!,9/9/22,
5/30/21 01:00,Doolin (Ireland),,Ireland,Light,5mins,"Two bright objects hovering in the sky over the sea. A falling star fell beside one of the objects and it darted to the left very fast,",7/31/21,
5/30/21 00:00,Minneapolis,MN,USA,Light,6 minutes,"Saw 10 lights appear in the NW ski, one after another. They came down vertically, made a 90 degree turn to the right, and disappeared i",8/16/21,
5/30/21 00:00,Socal,CA,USA,Formation,Possibly Years,There is something going on with the cloud/marine coverage around Mt. Baldy and inland empire area. There is a lot of static and it fee,7/31/21,
5/29/21 22:46,Granbury,TX,USA,Disk,45 seconds,flying saucer with flashing lights hovering above us,7/31/21,
5/29/21 22:05,Clarksville,AR,USA,Light,1min,"Slow moving line of lights "". . . . "" maybe musk's satellites",7/31/21,
5/29/21 22:00,Valdosta,GA,USA,Unknown,8 second,"A amber/like white light traveling under lildipper stars ,disappears after 8 secound of watching it",7/31/21,
5/29/21 21:45,Gun Barrel City,TX,USA,Circle,At least 30 seconds,Saw solid orange light up in the sky that's normally never there,6/22/22,
5/29/21 21:20,Stoneman Lake,AZ,USA,Circle,5 minutes,Slow 20 plus circular lights in straight formation disappearing into each other. Haze around each circular light.,7/31/21,
5/29/21 21:00,Union,MO,USA,Light,10 seconds,"Slow moving line of ""stars""",7/31/21,
5/29/21 20:22,Las Vegas,NV,USA,Circle,,Sighting in Las Vegas,4/22/22,Yes
5/29/21 20:20,"Forest Hill, Melbourne (Australia)",,Australia,Sphere,10 Seconds,"Star-like Object(s) Begin flying at high speeds, making remarkable turns, accelerating and coming to a hault instantly.",8/16/21,
5/29/21 20:20,Canyon Lake,CA,USA,Fireball,1.5 minutes,Fireball that turned into 3 cruising ufos,7/31/21,
5/29/21 19:30,Kissimmee,FL,USA,Cylinder,1 min,"White, pencil-shaped object traveling fast above central Florida",7/31/21,
5/29/21 14:45,Bolingbrook,IL,USA,Changing,2 min,I saw a strange multi-colored daylight orb while I was driving. It looked like a silver orb and it was tumbling but then lights flicker,7/31/21,
5/28/21 23:13,Calgary (Canada),AB,Canada,Circle,1-2 minutes,over 30 bright round unidentified craft traveling fast.,7/31/21,
5/28/21 22:30,Faribauot,MN,USA,Changing,5 minutes or less,"I noticed the little dipper was really bright, like on fire then realized the stars were moving. Very fast, sporadically, left right, u",7/31/21,
5/28/21 22:10,Perry,OK,USA,Light,3 minutes,Orange Ribbon of light in the night sky.,7/31/21,
5/28/21 22:00,Granbury,TX,USA,Disk,about 2 minutes,lights flashing on disc shaped aircraft caught on video,7/31/21,
5/28/21 21:20,Morongo Valley,CA,USA,Formation,30 seconds,String of lights all in line equally spaced heading south east . It looked exactly like a string of dim white Christmas lights going a,7/31/21,
5/28/21 21:20,Mt. Baldy,CA,USA,Light,5min,"There was a line of lights, approximately ten, not like a comet streaking across the sky but individual dots in a line that disappeared",7/31/21,
5/28/21 21:12,Margate,FL,USA,Circle,30 seconds,"Unidentified flying object over Ft Lauderdale, Florida. ((NUFORC Note: Rport fro experience pilot. PD))",7/31/21,
5/28/21 21:12,Auburn,CA,USA,Formation,10 seconds,continuous formation of white lights,7/31/21,
5/28/21 18:54,Fork,SC,USA,Sphere,5min,Object appeared in the South Sky at 1:00 position. Round metallic white sphere. Object darted to the NE. Stopped held position 1-2 minu,8/16/21,
5/28/21 16:40,Riverdale,NJ,USA,Sphere,5 seconds,"yesterday, I witnessed an orb of light descending near Riverdale, New Jersey.",7/31/21,
5/28/21 14:40,Sacramento,CA,USA,Triangle,3 min,Six triangle flying objects flying high in circular motion and then just disappeared,7/31/21,
5/28/21 12:10,Central Point,OR,USA,Cigar,40 seconds,Cylinder shaped object at mid-day in clear weather moves slowly across sky and disappears.,7/31/21,
5/28/21 11:45,Dean City,FL,USA,Formation,20 min,"We were driving east on a dirt road that separated Broward County and palmbeach county we were about 13 miles west of Hwy US. 27, in f",7/31/21,
5/28/21 09:45,Grand Rapids,MN,USA,Light,50 seconds,UFO allowed my awareness of its presence known for the second night this week.,7/31/21,
5/28/21 06:25,Pine City,NY,USA,,,MADAR Node 82,7/31/21,
5/28/21 02:30,Pine,AZ,USA,Changing,1-2 hrs,"The sighting was approximately 4 hours after the first sighting, I experienced earlier that evening, in New Mexico. I was on my way tow",7/31/21,
5/28/21 02:00,Tooele Utah,UT,USA,Triangle,7 seconds,"I was on my back deck and a triangle glass shaped object lit up the sky to the North of my city. It happened so fast, but it was so in",7/31/21,
5/28/21 00:20,Charleston,WV,USA,Flash,1 Second,Blue Flash making quick maneuvers in the sky,7/31/21,
5/27/21 00:00,"Washington, D.C.",DC,USA,Light,4 seconds,Light dots moving in the sky,7/31/21,
5/27/21 23:00,Salem,OR,USA,Sphere,All night,Orbs over Salem OR,7/31/21,
5/27/21 22:37,,NM,USA,Changing,2min. Plus,"When the craft first appeared, it had two lights on top blinking and a red light on bottom. Another craft flew directly in front of it,",7/31/21,
5/27/21 22:30,El Rito,NM,USA,Formation,30 seconds,Multiple changing colored lights following a path,3/4/22,Yes
5/27/21 22:20,Sandy,UT,USA,Light,2 minutes,A object presenting characteristics that are not consistent with the SpaceX satellite formation.,7/31/21,
