Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
10/31/21 21:25,Tucson,AZ,USA,Sphere,1 minute,Halloween Night - burning bright orange UFO in the Southwest Desert.,11/15/21,
10/31/21 21:00,Surprise,AZ,USA,,2 minutes,About 9:00 pm Local time saw a bright Fluorescent orange object coming from the south west heading towards the Northeast. Made no noise,11/15/21,
10/31/21 19:00,Charles City,VA,USA,Oval,1 minute,Driving west on route 60 about to come up on route 33 to get on interstate 295. So about 1 minute away from bottoms bridge route 33 dr,11/15/21,
10/31/21 10:21,Idaho Springs,CO,USA,Triangle,15 min,Triagle apex formed lights drifting past camera,10/8/22,Yes
10/31/21 07:48,Goshen,KY,USA,,,MADAR Node 182,3/4/22,
10/31/21 06:43,West Des Moines,IA,USA,Light,30 seconds,"Satellite-type speeding light in sky stopped near star, went 90 degrees in different direction.",11/15/21,
10/31/21 01:01,NASA space agency,NV,USA,Changing,15 minutes,"Peter, ((deleted)) here. I thought I had your email.. ((NUFORC Note: Alleged footage of faked lunar landing. PD))",11/15/21,
10/31/21 01:00,Gulfport,MS,USA,Triangle,4 seconds,Standing in the front yard at my mothers after hearing a noise that drew me outside.,6/22/22,
10/31/21 00:45,Naples,FL,USA,Light,Unknown,Strange swirling light seen in the sky and video recorded by local news service.,11/15/21,
10/31/21 00:09,Bismarck,ND,USA,,15 minutes,"Top left corner of video, towards the end you see it leap after a second one appears or maybe just how the craft travels.",11/15/21,
10/30/21 22:28,La Conner,WA,USA,Chevron,8 seconds,Clear night no moon I was outside in my back yard looking for the northern lights. I was out there for about 15 minutes and looking to,11/15/21,
10/30/21 21:35,Dunbartionshire (UK/Scotland),,United Kingdom,Triangle,10 seconds,My son seen it first and asked me what it was in the sky and I looked up and saw a triangle craft with a light at each corner and flew,11/15/21,
10/30/21 21:30,Loch Lomond (UK/Scotland),West Dunbartonshire,United Kingdom,Triangle,~1minute,Triangle craft 100 feet above us,3/4/22,
10/30/21 20:00,Tucson,AZ,USA,Disk,5 minutes,Grey disk like craft no sound no lights moving around 300 feet altitude at high rate of speed westbound just 100 feet southerly of Gran,11/15/21,
10/30/21 19:10,Cary,NC,USA,Circle,15 seconds,"Driving on Holly Springs Rd, my wife & I saw an object flying just above the treetops. Object was circular, approximately 30 ft in circ",11/15/21,
10/30/21 19:00,Apex,NC,USA,Unknown,,"Driving South on HWY 55, a brightly lit, very large object, passed above me at the intersection of Vision Dr.",12/19/21,
10/30/21 18:00,Surrey (Canada),BC,Canada,Circle,5 minutes,Objects over Surrey B.C Canada.,11/15/21,
10/30/21 16:30,Tahlequah,OK,USA,Cigar,2 minutes,I was in my car geting ready to help a friend change a tire while waiting in car I notice s white cigar shape object going across the s,11/15/21,
10/30/21 15:38,Port Angeles,WA,USA,,,MADAR Node 49,3/4/22,
10/30/21 07:37,Janesville,WI,USA,Other,2-3 minutes,Crescent like object that looks like a moon glowing was moving through the sky in a south to north direction.,11/15/21,
10/30/21 04:36,Jonesboro,AR,USA,,,MADAR Node 143,3/4/22,
10/30/21 03:30,,,,Unknown,,In a plane over greece,12/19/21,
10/29/21 23:00,Portland,OR,USA,Circle,60 minutes,Round orb like had a hovering movement. A smaller piece separated from the bigger identical of the larger one.,11/15/21,
10/29/21 22:00,Edison,NJ,USA,Changing,4 hours,now this is not a joke for at about 10 o'clock on fri night I saw varied craft in the sky on the ground nd on the greenway in Edison n,11/15/21,
10/29/21 20:10,Owasso,OK,USA,Oval,4-5 seconds,Very dim but long range meteor-like object,11/15/21,
10/29/21 20:00,Concord,NC,USA,Changing,3 minutes,We were riding down road. I looked to my right. There was bright orange balls of light. There was a big light and then more balls of li,11/15/21,
10/29/21 19:00,Phoenix,AZ,USA,Fireball,,Bright fireball object moving in sky,12/19/21,
10/29/21 19:00,Plymouth,NH,USA,Light,10-20 minutes,Bright white light or orb moving dramatically.,11/15/21,
10/29/21 19:00,Barnes,KS,USA,Circle,About 5 minutes,"It was stationary, with a red light. I looked to my West, and another one, identical, with same red light. Other person captured photos",4/22/22,
10/29/21 16:10,Tyrone,CO,USA,Unknown,15 seconds,Seen a strange object going east at a faster speed then normal. Silver chrome colored it turned and it just disappeared.,11/15/21,
10/29/21 10:45,Katy,TX,USA,Other,5-8 minutes,"Silver ""toaster-shaped"" object with white lights on bottom. It was slow flying and stopped and hovered for approximately 20 s",11/15/21,
10/29/21 10:21,Portland,OR,USA,,,MADAR Node 66,3/4/22,
10/29/21 09:25,Soldotna,AK,USA,Circle,3 minutes,Shiny metallic craft in morning sunlight.,11/15/21,
10/29/21 09:25,Soldotna,AK,USA,Circle,3 minutes,Shiny metallic craft in morning sunlight,11/15/21,
10/29/21 07:57,Boise,ID,USA,,,MADAR Node 111,3/4/22,
10/29/21 02:45,Richland,WA,USA,Unknown,~2 minutes,White Creature with Black eyes does hand signals afar,11/15/21,
10/28/21 20:00,Oaxaca City (Mexico),,Mexico,Chevron,15 seconds,Dimly Lit Chevron Over Oaxaca. ((NUFORC Note: Wee have corrected the date. PD)),11/15/21,
10/28/21 20:00,Oaxaca City (Mexico),,Mexico,Chevron,15 seconds,Dimply Lit Chevron Over Oaxaca. ((NUFORC Note: We have corrected the date. PD)),11/15/21,
10/28/21 19:45,Clearwater,FL,USA,Light,5 minutes,Four orange/red lights flying in formation one minute apart.,11/15/21,
10/28/21 19:15,Enfield,NH,USA,Triangle,10 seconds,"One gray triangular aircraft the size of a large jet with a white light at each point, and a red light in the middle",11/15/21,
10/28/21 09:46,Independence,MO,USA,,,MADAR Node 45,3/4/22,
10/28/21 07:40,Union,,USA,Cylinder,10 seconds,It was moving away from me. Looked like shiny airplane without wings or tail. NO windows.,3/4/22,Yes
