Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
8/31/20 22:00,Beldenville,WI,USA,Teardrop,3 minutes,first hand visual,9/4/20,
8/31/20 21:30,Bartlesville,OK,USA,Oval,10 minutes,"Red orbs (4) dancing erratically for 10 min, then disappeared suddenly in the north sky!",11/5/20,
8/31/20 21:30,Garden Grove,CA,USA,Other,1 minute,"Box like object with lit up squares seen in Garden Grove, CA",9/4/20,
8/31/20 21:15,Holiday Shores,IL,USA,Triangle,3 minutes,On my way home from work I happened to look up and seen a Triangle shaped object with 1 red light and 4 white blinking lights.I started,9/4/20,
8/31/20 20:30,Alden,NY,USA,Cigar,5 minutes,Two objects moving together like a clock pendulum,5/20/21,
8/31/20 19:33,Cobb island,MD,USA,Diamond,2 minutes,"Looking at the sky westbound from westmoreland, can tords cob island mad..seen a large glistening object in the sky, shining about 100",9/4/20,
8/31/20 19:30,Lahaina,HI,USA,Light,9 seconds,Bright ball of light moving up high into space.,9/4/20,
8/31/20 19:26,Delhi (India),,India,Teardrop,~2 minutes,"I observed a small dot of light moving with very fast velocity, coming from west direction and it disappeared in NE direction.",9/4/20,
8/31/20 19:00,Tacoma,WA,USA,Other,1:24,"Outside of this world creatures come to our house, they land on walls, ceilings, mirrors, eyeglasses, car windshields & they fly.",9/4/20,
8/31/20 15:31,Boise,ID,USA,,,MADAR Node 111,11/5/20,
8/31/20 10:20,Rochester,NY,USA,Light,3 minutes,"2 orbs of light over Rochester, NY",9/4/20,
8/31/20 07:01,Barnstable,MA,USA,Oval,1 snapshot,Upon arriving at the near end of Scusset Beach jetty i snapped a few pics of sun and surrounding area to later notice a bright object i,11/5/20,
8/31/20 06:20,Nassau (Bahamas),,Bahamas,Light,5 seconds,"Light - yellow, low altitude, fast, silent, left a trail",9/4/20,
8/31/20 04:33,Lindenhurst,NY,USA,Unknown,1:00,I saw object flying in the sky and another object approached at this point I hear a sound and the other object changes shape and color.,9/4/20,
8/31/20 04:00,Tom Bean,TX,USA,Light,35 seconds,"Late in the morning, there was a large cast of clouds rippling across the sky covering the face of the moon and sky blocking out stars.",9/4/20,
8/31/20 02:00,Tom Bean,TX,USA,Sphere,35 minutes,Pulsing orbs.,9/4/20,
8/31/20 00:30,Minneapolis,MN,USA,Disk,10 minutes,"Found a UFO while running, took photos.",9/4/20,
8/30/20 23:50,London (Canada),ON,Canada,Fireball,3 minutes,The object was moving across the sky very low in a straight line. No noise came from the object. Started to ascend into sky.,9/4/20,
8/30/20 23:00,Hooksett,NH,USA,Diamond,30 minutes,"I live off of route 101 East in NH , which goes to the ocean. I was going out around 11:00 p.m. to smoke a cigarette and I looked up an",9/4/20,
8/30/20 22:30,Curtin,WV,USA,Light,>30 minutes,My husband and I were leaving from a storage shed that out friend is renting and we are storing some items in. As I was backing out int,9/4/20,
8/30/20 22:25,Oshawa,ON,Canada,Circle,3 minutes +,"30/08/20 22:25 hrs 3-5 min duration Oshawa, Ontario Large pulsating bright red translucent orb",9/4/20,
8/30/20 22:17,Myrtle Beach,SC,USA,Light,streaked by less than a s,Two white lights flashed across the sky in less than a second. No sound.,9/4/20,
8/30/20 21:51,Newcastle upon Tyne (UK/England),,United Kingdom,Circle,3.5 seconds,recorded on ring door bell camera,9/4/20,
8/30/20 21:40,Meriden,CT,USA,Light,15 minutes,"zig zag light, with a green after glow",12/23/20,
8/30/20 21:00,Lockport,NY,USA,Circle,~3 minutes,"Me, my wife, and a friend saw a strange, cloud-like ring in the night sky",9/4/20,
8/30/20 21:00,Tallahassee,FL,USA,Disk,unknown,Craft was there one frame and gone the next,11/5/20,
8/30/20 20:55,Lockport,NY,USA,Unknown,10-15 minutes,"Fuzzy point of white/yellow light traveling silently & slowly south, developing circular / spiraling halos",9/4/20,
8/30/20 20:53,NiagaraFfalls,ON,Canada,Other,2-4 minutes,White light with undulating mist around it disappearing and leaving a cloud,9/4/20,
8/30/20 20:45,Grand Prairie,TX,USA,Unknown,,Wide Spaced Procession of Lights,9/4/20,
8/30/20 20:30,Ottawa,ON,Canada,Chevron,60 minutes,"Chevron like object with white ,bright blinking light on both sides, hovering for about 20 min before slowly flying West.",9/4/20,
8/30/20 20:05,Pewaukee,WI,USA,Diamond,10 minutes,Diamond Shaped UFO Sighting on the Lake,9/4/20,
8/30/20 19:56,Duntroon (Canada),ON,Canada,Light,2 minutes,We noticed a very bright light coming south from the north rather quickly almost like a satellite but a lot lower it was a clear night,9/4/20,
8/30/20 19:05,Avella,PA,USA,Cylinder,8 minutes,I saw a cylindrical object floating in the air. Probably 200 ft or more above the tree tops. I took several photos and a short video.,9/4/20,
8/30/20 18:20,Glendon,PA,USA,Sphere,20 seconds,The ufo was a little below the clouds round sphere like object very shiny no noise and flew past house and flew into the clouds and dis,9/4/20,
8/30/20 17:30,Tacoma,WA,USA,Sphere,10 minutes,"Bird/animal disturbance in the trees. 30 clear orbs rose up slowly. Then once at high elevation, flew around doing maneuvers.",11/5/20,
8/30/20 15:19,Millerton,PA,USA,,,MADAR Node 104,11/5/20,
8/30/20 13:52,East Longmeadow,MA,USA,Disk,2 hours,Metallic disc like object hovering behind the clouds for almost 2 hours.,12/23/20,
8/30/20 05:15,Pequot Lakes,MN,USA,Sphere,10 minutes,Orb with deer,10/8/22,
8/30/20 03:45,Milford,CT,USA,Teardrop,5 seconds,Yellow Orange glowing tear shaped object moving east 500 feet away 500 feet off the ground at approximately 35 knots in a straight dire,9/4/20,
8/30/20 01:45,Watertown,NY,USA,Fireball,31 seconds,Fireball captured on Ring Doorbell video,9/4/20,
8/30/20 01:30,Dublin (Ireland),,Ireland,Formation,5 minutes,Formation of lights passing over Dublin very quickly - 130am 30 August 2020 ((Possibly Starlink satellites)),12/23/20,
8/30/20 01:30,Island Pond,VT,USA,Sphere,20 minutes,Bright round light moved in and out of focus turn side to side. Once it was closest it hovered in one place. After about 10 minutes of,9/4/20,
