Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
3/31/21 21:30,"Hiko, Rachel NV",NV,USA,Light,4 Minutes,Red ball of light with occasionally revolving green laser showing a metallic surface of a saucer. I have video.,4/23/21,
3/31/21 08:59,Hanover,MD,USA,,,MADAR Node 77,4/23/21,
3/31/21 06:35,Camillus,NY,USA,Formation,5+ minutes,Cluster of three bright lights,3/31/21,
3/31/21 05:50,Alcoa,TN,USA,Triangle,8 seconds,Small black triangle with three solid white lights passed low over my car.,4/23/21,
3/31/21 03:34,Southampton,NJ,USA,Light,3 seconds,Ball of white light moved across sky from south to north in about 3 seconds. It was about size of a golf ball compared to the moon. It,3/31/21,
3/30/21 23:06,Arlington,TX,USA,Light,15 minutes,"A bright pulsing light in DFW area of Texas with multiple colors, slowly moving down after 15 minutes. ((Sirius??))",4/23/21,
3/30/21 23:06,Arlington,TX,USA,Light,15 minutes,"A bright pulsing light in DFW area of Texas with multiple colors, slowly moving down after 15 minutes",4/23/21,
3/30/21 21:03,Erie,CO,USA,,,MADAR Node 39,4/23/21,
3/30/21 20:42,Newport,RI,USA,Unknown,10:59,"(I HAVE ALL OF THIS ON VIDEO. 11 MINUTES) A ""light"" appeared in the night sky seemingly out of nowhere in the distance. I've",4/23/21,
3/30/21 20:36,East Wenatchee,WA,USA,Cylinder,40 seconds,looked out into the night sky and saw the 24 craft,4/22/22,
3/30/21 20:29,Brewster,MA,USA,Oval,4 minutes,Moving lights on dark mass,3/31/21,
3/30/21 11:35,Springfield,MO,USA,,,MADAR Node 36,4/23/21,
3/30/21 09:30,Twin falls,ID,USA,Fireball,5 minutes,"Hi this is real sigting i watched that and take the pictures, video they come from moon,red white yellow light ball they fly like so sc",4/23/21,
3/30/21 02:45,Largo,FL,USA,Light,2 seconds,While orb falling before disappearing into thin air,3/31/21,
3/30/21 01:12,Huntington,NY,USA,Rectangle,10 seconds,At 1:12 am on March 30th our ring device went off and we saw this strange object which could be a drone Showed it to many people.,3/31/21,
3/29/21 22:00,Boise,ID,USA,Light,15 seconds,FAST MOVING CRAFT.,3/31/21,
3/29/21 20:30,Ringwood,NJ,USA,Light,30 minutes,"Multiple objects witnessed,changed speed and direction, lights changed color and intensity",3/31/21,
3/29/21 19:00,Gloucester,MA,USA,Sphere,30,Across Gloucester Harbor south of Eastern Point were to spheres hovering near the lighthouse area dimming then brightening their lights,3/31/21,
3/29/21 13:12,Uvalde,TX,USA,,,MADAR Node 72,4/23/21,
3/29/21 05:16,Eads,TN,USA,,,MADAR Node 32,4/23/21,
3/29/21 00:15,Largo,FL,USA,Light,3 seconds,Very bright white orb seen exiting cloud and disappearing into thin air!,3/31/21,
3/28/21 21:30,Glenns Ferry,ID,USA,Circle,10 seconds,Truck driver observes 3 bright lights,3/31/21,
3/28/21 21:01,Phoenix,AZ,USA,Light,30-45 seconds,I was traveling in my car and looked over and seen a blue light/object in the sky traveling quickly from south to north. Once I stopped,3/31/21,
3/28/21 21:00,Apex,NC,USA,Circle,1-2 seconds,Saw a fuzzy green orb moving at high speed in a straight line,3/31/21,
3/28/21 20:26,Troutman,NC,USA,Cigar,4-5 seconds,"Driving down road, UFO passes overhead flying at 125 yards. And disappeared into the clouds.",3/31/21,
3/28/21 20:20,Summerfield,NC,USA,Sphere,1-2 seconds,I saw a glowing green orb that split into 2 spheres that moved away from each other in opposite directions.,3/31/21,
3/28/21 16:30,Boulder,CO,USA,Sphere,2 minutes,"Shiny sphere, high altitude, moving steadily west before disappearing",3/31/21,
3/28/21 13:00,Somerset,NJ,USA,Cigar,2 minutes,I captured two ufos on my phone.,4/23/21,
3/28/21 12:35,Las Vegas,NV,USA,Unknown,5 minutes,amorphous and undefinable low-flying object on a clear blue sky afternoon,8/16/21,
3/28/21 01:30,Santee,CA,USA,Light,Home,I have a video taken tonight. Two ? In the sky. Im trying to upload. ((NUFORC Note: Source provides no contact information. PD)),3/31/21,
3/28/21 01:30,Santee,CA,USA,Light,Home,I have a video taken tonight. Two ? In the sky. Im trying to upload,3/31/21,
3/27/21 23:00,Yorba linda,CA,USA,Light,,"Object in sky above me walking my dog. Came down about 100ft. Above me and a blue bright light flashed. moving in a very strange way, v",3/31/21,
3/27/21 22:00,cynthiana,LA,USA,Circle,30 minutes,"my best friend and i were sitting on the porch i was facing the roof toward the road, we were behind the house, and she was facing the",3/31/21,
3/27/21 04:34,Moses lake,WA,USA,Unknown,30,Its really hard to explain... other than at first sight would be a meteorite. But after only a second I could quickly understand that,3/31/21,
3/27/21 02:00,St. Petersburg,FL,USA,Flash,~2 seconds,White bright quick light,3/31/21,
3/27/21 01:57,West Chazy,NY,USA,,,MADAR Node 65,4/23/21,
3/27/21 01:40,Cincinnati,OH,USA,Chevron,1 minute or less,"UFO sighting on 3/27 01:40 and I have 2 pictures, one pic looks like a green chevron the other a blue egg/cyclinder shape",4/23/21,
3/26/21 22:35,Seffner,FL,USA,Changing,30 seconds,"Changing shapes, orange and gold colored",3/31/21,
3/26/21 20:14,Youngstown,OH,USA,,,MADAR Node 73,4/23/21,
3/26/21 07:15,Luning,NV,USA,Triangle,90-120 seconds,"US Military transporting ""UFO"" in Nevada",5/20/21,
3/26/21 05:30,New Castle,PA,USA,Oval,5 minutes,Oval craft with red and white lights hovering over trees,3/31/21,
3/26/21 05:07,Gilching (Germany),,Germany,Formation,1 minute,"Line of bright stars, moving rapidly across Germany´s western skies. ((Starlink satellite??))",3/31/21,
3/26/21 03:02,Wenatchee,WA,USA,Sphere,5 seconds,I was heading northbound on White Trails rd between quincy wa and wenatchee wa on my way to wenatchee wa. I was a couple miles south of,3/31/21,
3/25/21 23:15,Chilliwack (Canada),BC,Canada,Light,30 seconds,Large bright white light in the night sky that suddenly vanished in an instant!,3/31/21,
3/25/21 22:00,Gig Harbor,WA,USA,Changing,10 minutes,Large hovering black object with lights appeared and then changed into several orange orbs. No sound and slow moving.,5/20/21,
3/25/21 21:15,The Dalles,OR,USA,Fireball,1 minute,"A bright ball to the right of mt hood (south west of here) coming closer and becoming brighter, 0.2 inches at arms length. ((re-entry)",3/31/21,
3/25/21 21:00,Richland,WA,USA,Fireball,1 minute,"Slow moving cluster of fireballs crossing from SW to NE over the Tri-Cities, WA. ((Starlink satellites??))",3/31/21,
3/25/21 21:00,Seattle,WA,USA,Formation,45 seconds,Formation of 8-10 arrowhead orange lights. ((Starlink satellites)),3/31/21,
